gx,gy,gz,fault_name,X,Y,Z
0.455671879,0.129275037,0.865916755,Ida Fault,281825.1271,6595975.051,-19118.905
-0.459886799,-0.336245429,-0.82185348,Kunanalling Fault,325759.5592,6574630.739,-2068.768056
0.352245199,0.102473182,0.917071246,Bullabulling North Fault,288597.4655,6618661.815,-6250.689
0,-0.996646098,0.003071399,Bulla_Abut_North,291113.1185,6597520.054,410.6224473
0.352245199,0.102473182,0.917071246,Bullabulling South Fault,300390.0297,6573091.567,-6250.689
0,0.043609221,0.001307693,Bulla_Abut_South,298395.3732,6581799.853,404.5894428
-0.387965068,-0.203100176,-0.899018034,Zuleika Fault,336167.4439,6581424.789,-3475.76125
0.380703166,0.135495108,-0.914716445,MtMonger Fault,377066.1234,6600120.892,347.83
0.199086775,0.570989161,-0.796452029,Kanowna Fault,346826.424,6627377.94,-6363.455172
0.427567365,0.191523364,-0.883461912,Boorara Fault,360094.1606,6592193.259,-4751.938857
0.407617021,0.244743747,-0.879743635,Boulder Lefroy Fault,354301.6966,6594128.128,-6485.623433
0.651111873,0.218958282,-0.726712185,Abattoir East Fault,353424.7003,6586669.767,-4144.702273
0.651111873,0.218958282,-0.726712185,Abattoir East Fault,353424.7003,6586669.767,-4144.702273
0.719938379,0.223929476,-0.656920331,Abattoir West Fault,350797.1015,6586791.172,-3133.164468
0.914072203,-0.197922411,0.169377777,Black Flag Fault,332297.7383,6623995.222,-1833.542632
0.733726011,0.366561935,-0.572082589,Speedway Fault,376020.3156,6531359.34,-3504.78
-0.292306518,0.350574845,-0.889749503,Tramways Fault,389512.0186,6515981.588,-2947.287273
