,X,Y,Z,fault_name
0,326846.92,6620664.73,-27829.86,Ida Fault
1,328157.8,6620693.26,-28274.49,Ida Fault
2,332962.46,6621100.44,-30448.47,Ida Fault
3,335948.39,6621753.56,-31999.47,Ida Fault
4,339303.55,6622112.97,-33648.69,Ida Fault
5,340029.81,6622127.06,-33943.38,Ida Fault
6,342326.06,6622206.25,-35393.58,Ida Fault
7,345616.08,6623043.55,-36820.5,Ida Fault
8,319326.26,6620398.19,-24906.78,Ida Fault
9,321535.17,6620471.13,-25622.52,Ida Fault
10,324117.01,6620558.95,-26726.13,Ida Fault
11,326777.15,6620662.45,-27743.52,Ida Fault
12,281483.89,6616682.35,-7362.75,Ida Fault
13,282797.3,6616695.87,-8567.22,Ida Fault
14,276622.69,6616596.83,448.38,Ida Fault
15,277369.04,6616615.74,-1882.17,Ida Fault
16,278641.91,6616644.29,-3701.67,Ida Fault
17,280042.57,6616666.58,-5720.46,Ida Fault
18,281371.47,6616681.19,-7248.6,Ida Fault
19,282858.61,6616696.51,-8652.39,Ida Fault
20,285475.56,6616718.71,-10868.82,Ida Fault
21,287733.33,6616744.57,-12190.83,Ida Fault
22,289737.22,6616775.36,-12916.59,Ida Fault
23,289748.07,6616775.52,-12842.25,Ida Fault
24,291560.73,6616797.09,-13677.96,Ida Fault
25,295846.22,6617268.71,-15281.91,Ida Fault
26,297313.13,6617462.79,-16030.92,Ida Fault
27,309857.79,6619393.63,-20912.79,Ida Fault
28,311593.02,6619800.06,-21657.57,Ida Fault
29,313801.46,6620221.91,-22601.55,Ida Fault
30,317410.48,6620333.58,-24005.31,Ida Fault
31,319425.77,6620401.57,-24921.72,Ida Fault
32,297312.82,6617462.75,-16040.25,Ida Fault
33,301557.94,6618031.0,-17839.53,Ida Fault
34,305466.79,6618520.31,-19435.5,Ida Fault
35,309806.83,6619381.7,-21012.81,Ida Fault
36,271505.0331613271,6653013.139033124,484.89725,Ida Fault
37,271534.9069942198,6650884.870416919,479.95044,Ida Fault
38,271567.3112984803,6648576.326212598,485.75809,Ida Fault
39,271490.45703660895,6646501.82042551,483.78461,Ida Fault
40,271517.8574662241,6645928.199176213,485.84747,Ida Fault
41,271621.44780692307,6644087.3181873765,517.71887,Ida Fault
42,272124.2976015912,6640077.87920594,508.81198,Ida Fault
43,272305.60517649003,6639047.862517701,507.74197,Ida Fault
44,273133.74588714814,6636167.2918435605,495.02533,Ida Fault
45,272566.1335104936,6638141.651448671,504.19901,Ida Fault
46,272796.98955489334,6637338.651254517,508.36111,Ida Fault
47,272959.7034910717,6636772.673774121,502.85294,Ida Fault
48,272027.838656252,6640846.988112121,508.5723,Ida Fault
49,271872.87270425644,6642082.598696657,516.04559,Ida Fault
50,271732.49038291606,6643201.927684068,521.84192,Ida Fault
51,271526.8084041092,6647482.243209381,490.75708,Ida Fault
52,271545.45524620847,6647985.162084103,495.36957,Ida Fault
53,271560.2102842446,6649082.215958867,481.98355,Ida Fault
54,271551.1091463515,6649730.59831476,481.28366,Ida Fault
55,271544.18788327475,6650223.682246732,477.84113,Ida Fault
56,271526.9965125951,6651448.428158092,490.09152,Ida Fault
57,271516.62240959663,6652187.498966675,497.00546,Ida Fault
58,271565.5907733157,6645079.941153623,497.97101,Ida Fault
59,271597.245488074,6644517.412232349,509.35034,Ida Fault
60,271800.6211810563,6642658.691352259,521.1062,Ida Fault
61,271683.9140091365,6643589.248129815,519.33221,Ida Fault
62,271506.3255719476,6646929.80634911,485.12518,Ida Fault
63,271541.2959055673,6645511.6798646245,491.06415,Ida Fault
64,271952.8568581762,6641444.850430635,512.13538,Ida Fault
65,272080.3224391976,6640428.512202451,512.30316,Ida Fault
66,272214.9513890397,6639562.870861819,515.38916,Ida Fault
67,272455.5077197518,6638526.447660853,505.17191,Ida Fault
68,272719.6755318193,6637607.57718063,507.67648,Ida Fault
69,272631.4714092453,6637914.38278209,503.95706,Ida Fault
70,272873.5442915246,6637072.366399212,500.13397,Ida Fault
71,273047.08941856737,6636468.714148862,504.93161,Ida Fault
72,273217.24416105205,6635789.700522362,497.09979,Ida Fault
73,273296.64363899804,6635430.64455176,496.52713,Ida Fault
74,273378.92680692475,6635058.548116267,494.3157,Ida Fault
75,273461.5857332833,6634684.752446573,498.77863,Ida Fault
76,273579.0685456238,6634153.478106935,501.28198,Ida Fault
77,273511.3149830525,6634459.869556839,498.7099,Ida Fault
78,273678.52786906355,6633600.1161603965,506.95511,Ida Fault
79,273802.26024165924,6632805.047417263,497.22098,Ida Fault
80,273906.45138095645,6632135.545035359,494.96692,Ida Fault
81,273980.41275661555,6631660.290445546,495.12155,Ida Fault
82,273985.4824369226,6630914.79326573,492.29419,Ida Fault
83,273990.55211722665,6630169.296085905,496.25784,Ida Fault
84,274052.76980831655,6629178.28327094,508.3132,Ida Fault
85,274177.99763961125,6628242.7757328,502.3031,Ida Fault
86,274310.0364984421,6627471.617814725,505.11887,Ida Fault
87,274566.32526034553,6626226.12234895,519.07562,Ida Fault
88,274931.5063196166,6624575.594368858,528.86615,Ida Fault
89,275255.24764026166,6623246.356107132,528.69507,Ida Fault
90,274731.6779779176,6625478.769001862,516.73279,Ida Fault
91,275087.340744163,6623871.261349818,529.15027,Ida Fault
92,275510.16332684114,6622254.024992932,527.909,Ida Fault
93,275674.4867750632,6621516.172860371,526.10852,Ida Fault
94,275861.72583133494,6620675.424090389,508.26227,Ida Fault
95,276043.4854916915,6619859.279136883,505.14563,Ida Fault
96,276181.73059256887,6619137.107437123,510.06821,Ida Fault
97,276306.882665294,6618198.218093023,510.9913,Ida Fault
98,276287.8454931382,6617486.728535532,514.99451,Ida Fault
99,276363.1062686032,6616908.224022003,516.84521,Ida Fault
100,276536.7247424571,6615846.719194425,507.11902,Ida Fault
101,276708.0985474888,6615088.704827498,514.07751,Ida Fault
102,276964.02308618784,6614124.768952861,516.12097,Ida Fault
103,277232.47956739867,6613113.631707748,514.95813,Ida Fault
104,277395.1248658566,6612159.937281426,505.88553,Ida Fault
105,277540.8636042452,6611124.42519288,496.15631,Ida Fault
106,277673.62619718653,6610181.112032512,500.15897,Ida Fault
107,277848.54357477184,6608938.278033871,516.91876,Ida Fault
108,278033.71288516425,6607767.107671153,521.08679,Ida Fault
109,278270.68540886685,6606268.28912532,508.49231,Ida Fault
110,278398.3731350346,6605460.681859007,496.25949,Ida Fault
111,278726.1526162517,6604473.183549425,491.0502,Ida Fault
112,278950.6396940472,6603598.462609407,487.44028,Ida Fault
113,279229.2884831357,6602525.864276541,479.60834,Ida Fault
114,279510.9089566901,6601222.482891358,482.69495,Ida Fault
115,279844.3072770403,6599553.218562061,462.03067,Ida Fault
116,280114.25160027266,6597858.178437615,463.53226,Ida Fault
117,279987.4329777686,6598726.342374299,459.80536,Ida Fault
118,279733.61251394125,6600116.530123157,470.97333,Ida Fault
119,279345.2522961795,6601989.166523813,480.83051,Ida Fault
