X,Y,Z,fault_name
271505.0331613271,6653013.139033124,484.89725,Ida Fault
271534.9069942198,6650884.870416919,479.95044,Ida Fault
271567.3112984803,6648576.326212598,485.75809,Ida Fault
271490.45703660895,6646501.82042551,483.78461,Ida Fault
271517.8574662241,6645928.199176213,485.84747,Ida Fault
271621.44780692307,6644087.3181873765,517.71887,Ida Fault
272124.2976015912,6640077.87920594,508.81198,Ida Fault
272305.60517649003,6639047.862517701,507.74197,Ida Fault
273133.74588714814,6636167.2918435605,495.02533,Ida Fault
272566.13351049356,6638141.651448671,504.19901,Ida Fault
272796.98955489334,6637338.651254517,508.36111,Ida Fault
272959.7034910717,6636772.673774121,502.85294,Ida Fault
272027.838656252,6640846.988112121,508.5723,Ida Fault
271872.87270425644,6642082.598696657,516.04559,Ida Fault
271732.49038291606,6643201.927684068,521.84192,Ida Fault
271526.8084041092,6647482.243209381,490.75708,Ida Fault
271545.45524620847,6647985.162084103,495.36957,Ida Fault
271560.2102842446,6649082.215958867,481.98355,Ida Fault
271551.1091463515,6649730.59831476,481.28366,Ida Fault
271544.18788327475,6650223.682246732,477.84113,Ida Fault
271526.9965125951,6651448.428158092,490.09152,Ida Fault
271516.62240959663,6652187.498966675,497.00546,Ida Fault
271565.59077331575,6645079.941153623,497.97101,Ida Fault
271597.245488074,6644517.412232349,509.35034,Ida Fault
271800.6211810563,6642658.691352259,521.1062,Ida Fault
271683.9140091365,6643589.248129815,519.33221,Ida Fault
271506.3255719476,6646929.80634911,485.12518,Ida Fault
271541.2959055673,6645511.6798646245,491.06415,Ida Fault
271952.8568581762,6641444.850430635,512.13538,Ida Fault
272080.32243919757,6640428.512202451,512.30316,Ida Fault
272214.95138903975,6639562.870861819,515.38916,Ida Fault
272455.5077197518,6638526.447660853,505.17191,Ida Fault
272719.6755318193,6637607.57718063,507.67648,Ida Fault
272631.4714092453,6637914.38278209,503.95706,Ida Fault
272873.5442915246,6637072.366399212,500.13397,Ida Fault
273047.08941856737,6636468.714148862,504.93161,Ida Fault
273217.24416105205,6635789.700522362,497.09979,Ida Fault
273296.64363899804,6635430.64455176,496.52713,Ida Fault
273378.92680692475,6635058.548116267,494.3157,Ida Fault
273461.5857332833,6634684.752446573,498.77863,Ida Fault
273579.0685456238,6634153.478106935,501.28198,Ida Fault
273511.31498305255,6634459.869556839,498.7099,Ida Fault
273678.52786906355,6633600.1161603965,506.95511,Ida Fault
273802.26024165924,6632805.047417263,497.22098,Ida Fault
273906.45138095645,6632135.545035359,494.96692,Ida Fault
273980.41275661555,6631660.290445546,495.12155,Ida Fault
273985.4824369226,6630914.79326573,492.29419,Ida Fault
273990.55211722665,6630169.296085905,496.25784,Ida Fault
274052.76980831655,6629178.28327094,508.3132,Ida Fault
274177.99763961125,6628242.7757328,502.3031,Ida Fault
274310.0364984421,6627471.617814725,505.11887,Ida Fault
274566.32526034553,6626226.12234895,519.07562,Ida Fault
274931.5063196166,6624575.594368858,528.86615,Ida Fault
275255.24764026166,6623246.356107132,528.69507,Ida Fault
274731.6779779176,6625478.769001862,516.73279,Ida Fault
275087.340744163,6623871.261349818,529.15027,Ida Fault
275510.16332684114,6622254.024992932,527.909,Ida Fault
275674.4867750632,6621516.172860371,526.10852,Ida Fault
275861.72583133494,6620675.424090389,508.26227,Ida Fault
276043.4854916915,6619859.279136883,505.14563,Ida Fault
276181.73059256887,6619137.107437123,510.06821,Ida Fault
276306.882665294,6618198.218093023,510.9913,Ida Fault
276287.8454931382,6617486.728535532,514.99451,Ida Fault
276363.1062686032,6616908.224022003,516.84521,Ida Fault
276536.7247424571,6615846.719194425,507.11902,Ida Fault
276708.0985474888,6615088.704827498,514.07751,Ida Fault
276964.02308618784,6614124.768952861,516.12097,Ida Fault
277232.47956739867,6613113.6317077475,514.95813,Ida Fault
277395.1248658566,6612159.937281426,505.88553,Ida Fault
277540.8636042452,6611124.42519288,496.15631,Ida Fault
277673.62619718653,6610181.112032512,500.15897,Ida Fault
277848.54357477184,6608938.278033871,516.91876,Ida Fault
278033.71288516425,6607767.107671153,521.08679,Ida Fault
278270.68540886685,6606268.28912532,508.49231,Ida Fault
278398.3731350346,6605460.681859007,496.25949,Ida Fault
278726.1526162517,6604473.183549425,491.0502,Ida Fault
278950.63969404716,6603598.462609407,487.44028,Ida Fault
279229.28848313575,6602525.864276541,479.60834,Ida Fault
279510.9089566901,6601222.482891358,482.69495,Ida Fault
279844.3072770403,6599553.218562061,462.03067,Ida Fault
280114.25160027266,6597858.178437615,463.53226,Ida Fault
279987.4329777686,6598726.342374299,459.80536,Ida Fault
279733.61251394125,6600116.530123157,470.97333,Ida Fault
279345.2522961795,6601989.166523813,480.83051,Ida Fault
280213.0498673362,6597319.429675818,468.31995,Ida Fault
280311.8481343995,6596780.680914023,466.24869,Ida Fault
280551.67094676,6595857.437462845,465.82449,Ida Fault
280820.7148211178,6594535.674451215,480.94366,Ida Fault
280686.16710257705,6595339.668974329,472.99713,Ida Fault
281047.1842152573,6593702.173548106,491.7753,Ida Fault
281324.92832670826,6592657.0483794315,471.02628,Ida Fault
281560.0050731621,6591686.824720908,466.88358,Ida Fault
281784.7085131407,6590759.414430825,468.73938,Ida Fault
282004.9037554198,6589796.659989161,474.07306,Ida Fault
282208.5747412312,6588879.777313847,480.47644,Ida Fault
282435.18028891843,6587825.196297854,484.22195,Ida Fault
282639.98831881746,6586818.707637941,481.41458,Ida Fault
282921.5209772065,6585435.170927004,489.73691,Ida Fault
