X,Y,Z
,,
315521.8089433358,6608756.061697478,-19838.642066633136
,,
,,
,,
315454.0079704969,6610020.781256028,-19718.30985915487
315521.8089433358,6610020.781256028,-19666.11512949763
315521.8089433358,6609636.662444182,-19718.30985915487
,,
,,
316019.7120669433,6606858.982359653,-19718.30985915487
316155.31401262095,6606858.982359653,-19611.58725577335
316155.31401262095,6606276.894102138,-19718.30985915487
,,
,,
,,
315897.9429117036,6607491.342138928,-19718.30985915487
316155.31401262095,6607491.342138928,-19516.59081687384
,,
,,
315787.5222512049,6608123.701918203,-19718.30985915487
316155.31401262095,6608123.701918203,-19431.37182316304
,,
,,
315676.7245964175,6608756.061697478,-19718.30985915487
316155.31401262095,6608756.061697478,-19346.650889221994
,,
,,
,,
315565.54994734144,6609388.421476753,-19718.30985915487
316155.31401262095,6609388.421476753,-19262.425597284822
,,
,,
,,
316754.5029351172,6603697.183463278,-19718.30985915487
316788.8190819062,6603697.183463278,-19690.87305203284
316788.8190819062,6603549.060981411,-19718.30985915487
,,
316607.8908229064,6604329.543242553,-19718.30985915487
316788.8190819062,6604329.543242553,-19574.11672028012
,,
316461.11437985173,6604961.903021828,-19718.30985915487
316788.8190819062,6604961.903021828,-19457.950323400302
,,
,,
,,
316314.15427291294,6605594.262801103,-19718.30985915487
316788.8190819062,6605594.262801103,-19342.3738613934
,,
,,
316167.0201686101,6606226.622580378,-19718.30985915487
316788.8190819062,6606226.622580378,-19227.380080961786
,,
,,
316788.8190819062,6606858.982359653,-19112.966564339593
,,
316706.6246604564,6607491.342138928,-19084.507042253463
316788.8190819062,6607491.342138928,-19020.361295888062
316788.8190819062,6607052.358860148,-19084.507042253463
,,
316600.002942405,6608123.701918203,-19084.507042253463
316788.8190819062,6608123.701918203,-18937.85987101804
,,
,,
,,
316492.9848970245,6608756.061697478,-19084.507042253463
316788.8190819062,6608756.061697478,-18855.85167038603
,,
316385.58985735534,6609388.421476753,-19084.507042253463
316788.8190819062,6609388.421476753,-18774.334276226145
,,
,,
,,
,,
316277.78882383683,6610020.781256028,-19084.507042253463
316788.8190819062,6610020.781256028,-18693.30043524078
,,
,,
317339.18241075985,6601167.744346178,-19718.30985915487
317422.3241511914,6601167.744346178,-19650.936395349578
317422.3241511914,6600888.693979713,-19718.30985915487
,,
317193.2759545252,6601800.104125453,-19718.30985915487
317422.3241511914,6601800.104125453,-19533.299996819234
,,
317047.19550092664,6602432.463904728,-19718.30985915487
317422.3241511914,6602432.463904728,-19416.28738188402
,,
316900.93138344376,6603064.823684003,-19718.30985915487
317422.3241511914,6603064.823684003,-19299.896132778056
,,
,,
,,
317422.3241511914,6603697.183463278,-19184.116578437854
,,
,,
317402.81711338286,6604329.543242553,-19084.507042253463
317422.3241511914,6604329.543242553,-19069.028505137212
317422.3241511914,6604243.917621806,-19084.507042253463
,,
,,
317258.66996382875,6604961.903021828,-19084.507042253463
317422.3241511914,6604961.903021828,-18955.00908435225
,,
317114.31015082967,6605594.262801103,-19084.507042253463
317422.3241511914,6605594.262801103,-18841.504647698144
,,
