X,Y,Z
286376.89764527144,6634682.812647754,-70.42253521125531
,,
286380.575756216,6634668.40662434,-70.42253521125531
286380.575756216,6634682.812647754,-71.84115933698922
286215.8534183688,6635315.172427029,-70.42253521125531
,,
286380.575756216,6635315.172427029,-134.12764374637482
286055.5196807025,6635947.532206304,-70.42253521125531
,,
286380.575756216,6635947.532206304,-196.40264376786945
,,
286859.0250078763,6632785.733309929,-70.42253521125531
,,
287014.08082550124,6632172.237412619,-70.42253521125531
287014.08082550124,6632785.733309929,-130.48527945933893
286698.7637691116,6633418.093089204,-70.42253521125531
,,
287014.08082550124,6633418.093089204,-192.39942792434886
286538.0578704167,6634050.452868479,-70.42253521125531
,,
287014.08082550124,6634050.452868479,-254.31780747963057
,,
287014.08082550124,6634682.812647754,-316.24041812519135
,,
287014.08082550124,6635315.172427029,-378.1678643025007
,,
,,
287584.54568315705,6628991.574634279,-70.42253521125531
,,
287647.5858947864,6628510.473276328,-70.42253521125531
287647.5858947864,6628991.574634279,-95.1617200609544
287501.52960748837,6629623.934413554,-70.42253521125531
,,
287647.5858947864,6629623.934413554,-127.68248437155125
287418.33953445574,6630256.294192829,-70.42253521125531
,,
287647.5858947864,6630256.294192829,-160.20687533095042
287334.7724671344,6630888.653972104,-70.42253521125531
,,
287647.5858947864,6630888.653972104,-192.81286588855437
287177.20335425163,6631521.013751379,-70.42253521125531
,,
287647.5858947864,6631521.013751379,-254.01860895290156
287018.8174204101,6632153.373530654,-70.42253521125531
,,
287647.5858947864,6632153.373530654,-315.2455074686295
,,
287647.5858947864,6632785.733309929,-376.492956994276
,,
287647.5858947864,6633418.093089204,-437.7621664127728
,,
287647.5858947864,6634050.452868479,-499.0525312826503
,,
287647.5858947864,6634682.812647754,-560.3634471624537
,,
,,
288267.2098410325,6622667.976841529,-70.42253521125531
,,
288281.0909640716,6622460.908346912,-70.42253521125531
288281.0909640716,6622667.976841529,-75.89031273209548
288224.9478146208,6623300.336620804,-70.42253521125531
,,
288281.0909640716,6623300.336620804,-92.55174180150789
288182.87428535346,6623932.696400079,-70.42253521125531
,,
288281.0909640716,6623932.696400079,-109.16058446318493
288140.9892532305,6624565.056179354,-70.42253521125531
,,
288281.0909640716,6624565.056179354,-125.71623627567169
288078.9930257851,6625197.415958629,-70.42253521125531
,,
288281.0909640716,6625197.415958629,-150.16710254507052
287997.01610104035,6625829.775737904,-70.42253521125531
,,
288281.0909640716,6625829.775737904,-182.39108609480172
287914.86517893156,6626462.135517179,-70.42253521125531
,,
288281.0909640716,6626462.135517179,-214.6120474372001
287832.5450927189,6627094.495296454,-70.42253521125531
,,
288281.0909640716,6627094.495296454,-246.82998657225107
287750.05100914225,6627726.855075729,-70.42253521125531
,,
288281.0909640716,6627726.855075729,-279.0449034999692
287667.3829282016,6628359.214855004,-70.42253521125531
,,
288281.0909640716,6628359.214855004,-311.25679822034
,,
288281.0909640716,6628991.574634279,-343.46567073337064
,,
288281.0909640716,6629623.934413554,-375.6715210390612
,,
288281.0909640716,6630256.294192829,-407.8743491374116
,,
288281.0909640716,6630888.653972104,-440.15152353634767
,,
288281.0909640716,6631521.013751379,-500.7316696811613
,,
288281.0909640716,6632153.373530654,-561.3492911969952
,,
288281.0909640716,6632785.733309929,-622.0037836423944
,,
288281.0909640716,6633418.093089204,-682.6963559002834
,,
288281.0909640716,6633642.317584913,-704.2253521126622
288179.4040045937,6634050.452868479,-704.2253521126622
288281.0909640716,6634050.452868479,-743.4257990877231
,,
,,
,,
,,
288021.269400278,6634682.812647754,-704.2253521126622
288281.0909640716,6634682.812647754,-804.1933220876672
,,
287862.40980694554,6635315.172427029,-704.2253521126622
288281.0909640716,6635315.172427029,-864.9983204586242
,,
288836.2392204353,6617609.098607329,-70.42253521125531
,,
288914.59603335685,6617292.754683935,-70.42253521125531
288914.59603335685,6617609.098607329,-100.99639355295221
288679.9170886612,6618241.458386604,-70.42253521125531
,,
288914.59603335685,6618241.458386604,-162.30489166688494
288524.84193799587,6618873.818165879,-70.42253521125531
,,
288914.59603335685,6618873.818165879,-223.5414612461027
288481.4150958974,6619506.177945154,-70.42253521125531
,,
288914.59603335685,6619506.177945154,-240.684630165626
288438.1815842034,6620138.537724429,-70.42253521125531
,,
288914.59603335685,6620138.537724429,-257.7661460553936
288395.15106943407,6620770.897503704,-70.42253521125531
,,
288914.59603335685,6620770.897503704,-274.7866133568896
288352.309051809,6621403.257282979,-70.42253521125531
,,
288914.59603335685,6621403.257282979,-291.74542762862256
288309.6651978486,6622035.617062254,-70.42253521125531
,,
288914.59603335685,6622035.617062254,-308.6444021950156
,,
288914.59603335685,6622667.976841529,-325.4829326145991
,,
288914.59603335685,6623300.336620804,-342.26101888735866
,,
288914.59603335685,6623932.696400079,-358.9798698962404
,,
288914.59603335685,6624565.056179354,-375.6388811997822
,,
288914.59603335685,6625197.415958629,-399.9767169146362
,,
288914.59603335685,6625829.775737904,-431.8749065130396
,,
288914.59603335685,6626462.135517179,-463.7634250479532
,,
288914.59603335685,6627094.495296454,-495.6422725193843
,,
288914.59603335685,6627726.855075729,-527.5114489273183
,,
288914.59603335685,6628359.214855004,-559.3709542717625
,,
288914.59603335685,6628991.574634279,-591.2207885527168
,,
288914.59603335685,6629623.934413554,-623.0609517701814
,,
288914.59603335685,6630256.294192829,-654.8914439241489
,,
288914.59603335685,6630888.653972104,-686.7896335225596
,,
288914.59603335685,6631072.400726205,-704.2253521126622
288804.84236275346,6631521.013751379,-704.2253521126622
288914.59603335685,6631521.013751379,-746.8124846337378
,,
288649.5400488628,6632153.373530654,-704.2253521126622
288914.59603335685,6632153.373530654,-806.8891310355903
,,
288493.5369122561,6632785.733309929,-704.2253521126622
288914.59603335685,6632785.733309929,-867.018968286633
,,
288336.8281196731,6633418.093089204,-704.2253521126622
288914.59603335685,6633418.093089204,-927.2019963868734
,,
,,
,,
288914.59603335685,6634050.452868479,-987.4394242192502
,,
288914.59603335685,6634682.812647754,-1047.7300429008246
,,
288914.59603335685,6635315.172427029,-1108.0744568730588
,,
289465.72301730805,6615079.659490229,-70.42253521125531
,,
289548.1011026421,6614750.636722383,-70.42253521125531
289548.1011026421,6615079.659490229,-102.18774768667208
289307.7189110153,6615712.019269504,-70.42253521125531
,,
289548.1011026421,6615712.019269504,-163.42189950001193
289150.1352983522,6616344.379048779,-70.42253521125531
,,
289548.1011026421,6616344.379048779,-224.89964122502715
288992.977012579,6616976.738828054,-70.42253521125531
,,
289548.1011026421,6616976.738828054,-286.6221817446276
,,
289548.1011026421,6617609.098607329,-348.59133438323624
,,
289548.1011026421,6618241.458386604,-410.8077035823226
,,
289548.1011026421,6618873.818165879,-472.9370332099861
,,
289548.1011026421,6619506.177945154,-490.1448773666052
,,
289548.1011026421,6620138.537724429,-507.2850240787884
,,
289548.1011026421,6620770.897503704,-524.3568689050662
,,
289548.1011026421,6621403.257282979,-541.3622251698544
,,
289548.1011026421,6622035.617062254,-558.2998839902066
,,
289548.1011026421,6622667.976841529,-575.1716586905313
,,
289548.1011026421,6623300.336620804,-591.9769448293664
,,
289548.1011026421,6623932.696400079,-608.7163468481667
,,
289548.1011026421,6624565.056179354,-625.3910736298785
,,
289548.1011026421,6625197.415958629,-649.5457635798812
,,
289548.1011026421,6625829.775737904,-681.0661772606909
,,
289548.1011026421,6626294.589508766,-704.2253521126622
289526.8395914132,6626462.135517179,-704.2253521126622
289548.1011026421,6626462.135517179,-712.5708754633379
,,
289446.4479759849,6627094.495296454,-704.2253521126622
289548.1011026421,6627094.495296454,-744.0592537463381
,,
289365.8485303718,6627726.855075729,-704.2253521126622
289548.1011026421,6627726.855075729,-775.5319165511755
,,
289285.0364213138,6628359.214855004,-704.2253521126622
289548.1011026421,6628359.214855004,-806.9882594363662
,,
289204.01164881093,6628991.574634279,-704.2253521126622
289548.1011026421,6628991.574634279,-838.4282824019174
,,
289122.7742128632,6629623.934413554,-704.2253521126622
289548.1011026421,6629623.934413554,-869.8525898892985
,,
289041.3192802104,6630256.294192829,-704.2253521126622
289548.1011026421,6630256.294192829,-901.2605774570402
,,
288959.4486871881,6630888.653972104,-704.2253521126622
289548.1011026421,6630888.653972104,-932.7296136130608
,,
