X,Y,Z
272427.92530068406,6649859.447350355,-70.42253521125531
,,
272443.4642319413,6649733.160656154,-70.42253521125531
272443.4642319413,6649859.447350355,-78.74811199348187
272350.1243126753,6650491.80712963,-70.42253521125531
,,
272443.4642319413,6650491.80712963,-120.4140757171117
272272.3233246666,6651124.166908905,-70.42253521125531
,,
272443.4642319413,6651124.166908905,-162.04377295264567
272194.5175033977,6651756.52668818,-70.42253521125531
,,
272443.4642319413,6651756.52668818,-203.63599481715937
272116.71168212884,6652388.886467455,-70.42253521125531
,,
272443.4642319413,6652388.886467455,-245.1919501935772
272038.90586085996,6653021.24624673,-70.42253521125531
,,
272443.4642319413,6653021.24624673,-286.71163908191375
273019.73383499065,6644168.20933688,-70.42253521125531
,,
273076.96930122655,6643611.78753769,-70.42253521125531
273076.96930122655,6644168.20933688,-100.97040256982291
272954.9294834207,6644800.569116155,-70.42253521125531
,,
273076.96930122655,6644800.569116155,-135.5982498383746
272890.38129463664,6645432.92889543,-70.42253521125531
,,
273076.96930122655,6645432.92889543,-170.13180423789163
272826.07960211823,6646065.288674705,-70.42253521125531
,,
273076.96930122655,6646065.288674705,-204.5722746513129
272762.0292391256,6646697.64845398,-70.42253521125531
,,
273076.96930122655,6646697.64845398,-238.91845219570678
272698.2253723987,6647330.008233255,-70.42253521125531
,,
273076.96930122655,6647330.008233255,-273.1715457540049
272634.67283519753,6647962.36801253,-70.42253521125531
,,
273076.96930122655,6647962.36801253,-307.3321597676768
272571.3619610019,6648594.727791805,-70.42253521125531
,,
273076.96930122655,6648594.727791805,-341.4002942367224
272505.7504549934,6649227.08757108,-70.42253521125531
,,
273076.96930122655,6649227.08757108,-376.68698270554887
,,
273076.96930122655,6649859.447350355,-418.2471691722458
,,
273076.96930122655,6650491.80712963,-459.7698802679224
,,
273076.96930122655,6651124.166908905,-501.2551159925715
,,
273076.96930122655,6651756.52668818,-542.7028763462004
,,
273076.96930122655,6652388.886467455,-584.1125568873322
,,
273076.96930122655,6653021.24624673,-625.4853664989059
273694.9064396938,6615712.019269504,-70.42253521125531
,,
273710.4743705118,6615334.828471596,-70.42253521125531
273710.4743705118,6615712.019269504,-78.67316125143407
273668.9614994173,6616344.379048779,-70.42253521125531
,,
273710.4743705118,6616344.379048779,-92.47860438386124
273643.2195560655,6616976.738828054,-70.42253521125531
,,
273710.4743705118,6616976.738828054,-106.25080323553993
273617.67094311805,6617609.098607329,-70.42253521125531
,,
