X,Y,Z
298872.80350331066,6653021.24624673,-14014.084507042207
299050.67714192026,6653021.24624673,-13934.465059092301
299050.67714192026,6652719.366241017,-14014.084507042207
,,
,,
299684.1822112055,6650491.80712963,-14316.306449997544
,,
,,
,,
299684.1822112055,6651124.166908905,-14149.437085003872
,,
299615.18258985906,6651756.52668818,-14014.084507042207
299684.1822112055,6651756.52668818,-13983.016215579566
299684.1822112055,6651638.345191346,-14014.084507042207
,,
,,
299244.9161992661,6652388.886467455,-14014.084507042207
299684.1822112055,6652388.886467455,-13817.045050607554
,,
,,
299684.1822112055,6653021.24624673,-13651.518754556098
,,
,,
,,
300317.68728049065,6648594.727791805,-14530.787669436984
300317.68728049065,6648160.607631445,-14647.887323943614
,,
,,
300317.68728049065,6649227.08757108,-14361.210406666025
,,
,,
300317.68728049065,6649859.447350355,-14194.793163890525
,,
300317.68728049065,6650491.80712963,-14028.832878864941
,,
299983.62200813,6651124.166908905,-14014.084507042207
300317.68728049065,6651124.166908905,-13863.329551589275
300317.68728049065,6650548.090006103,-14014.084507042207
,,
300317.68728049065,6651756.52668818,-13698.28197318059
,,
300317.68728049065,6652388.886467455,-13533.686516990081
,,
300293.52097993507,6653021.24624673,-13380.2816901408
300317.68728049065,6653021.24624673,-13369.561316261785
300317.68728049065,6652979.822898762,-13380.2816901408
,,
300802.666266561,6647330.008233255,-14647.887323943614
300951.19234977587,6647330.008233255,-14579.157493483806
300951.19234977587,6647074.607674819,-14647.887323943614
,,
300433.70485619805,6647962.36801253,-14647.887323943614
300951.19234977587,6647962.36801253,-14409.360214018438
,,
300951.19234977587,6648594.727791805,-14240.100887459721
,,
300951.19234977587,6649227.08757108,-14071.921093363111
,,
300715.0585937868,6649859.447350355,-14014.084507042207
300951.19234977587,6649859.447350355,-13906.869888305617
300951.19234977587,6649448.475247711,-14014.084507042207
,,
,,
,,
300350.2441205992,6650491.80712963,-14014.084507042207
300951.19234977587,6650491.80712963,-13742.282894295662
,,
,,
300951.19234977587,6651124.166908905,-13578.157693567366
,,
,,
300951.19234977587,6651756.52668818,-13414.49186835486
,,
,,
300661.5544043567,6652388.886467455,-13380.2816901408
300951.19234977587,6652388.886467455,-13251.510270884293
300951.19234977587,6651888.930876584,-13380.2816901408
,,
,,
300951.19234977587,6653021.24624673,-13089.037613129909
,,
,,
,,
301584.6974190611,6644800.569116155,-14965.590221781076
,,
,,
,,
301584.6974190611,6645432.92889543,-14794.998706226568
,,
301535.46583156916,6646065.288674705,-14647.887323943614
301584.6974190611,6646065.288674705,-14624.959650173947
301584.6974190611,6645979.904280069,-14647.887323943614
,,
,,
301169.91670284467,6646697.64845398,-14647.887323943614
301584.6974190611,6646697.64845398,-14455.47426250614
,,
,,
301584.6974190611,6647330.008233255,-14286.536498808477
,,
,,
301584.6974190611,6647962.36801253,-14118.145150198015
,,
,,
301445.0935340114,6648594.727791805,-14014.084507042207
301584.6974190611,6648594.727791805,-13950.297798908887
301584.6974190611,6648354.167463785,-14014.084507042207
,,
,,
301078.0847607333,6649227.08757108,-14014.084507042207
301584.6974190611,6649227.08757108,-13783.528771198926
,,
,,
301584.6974190611,6649859.447350355,-13619.85690157174
,,
301584.6974190611,6650491.80712963,-13456.652869640897
,,
301391.98567191034,6651124.166908905,-13380.2816901408
301584.6974190611,6651124.166908905,-13294.075039071053
301584.6974190611,6650788.341564699,-13380.2816901408
,,
301027.702857335,6651756.52668818,-13380.2816901408
301584.6974190611,6651756.52668818,-13132.09560555467
,,
301584.6974190611,6652388.886467455,-12970.57192090527
,,
301584.6974190611,6653021.24624673,-12809.500358474044
,,
,,
302218.2024883463,6642903.48977833,-15178.543413189047
302218.2024883463,6642536.604159931,-15281.690140845021
,,
,,
302218.2024883463,6643535.849557605,-15005.609082504008
,,
,,
302218.2024883463,6644168.20933688,-14835.358471937536
,,
302218.2024883463,6644800.569116155,-14665.674827468181
,,
301896.74235835543,6645432.92889543,-14647.887323943614
302218.2024883463,6645432.92889543,-14496.55694021301
302218.2024883463,6644866.9834893355,-14647.887323943614
,,
302218.2024883463,6646065.288674705,-14328.00118352321
,,
302218.2024883463,6646697.64845398,-14160.005139632918
,,
302171.7645251986,6647330.008233255,-14014.084507042207
302218.2024883463,6647330.008233255,-13992.565181893315
302218.2024883463,6647248.618543036,-14014.084507042207
,,
301809.86934111814,6647962.36801253,-14014.084507042207
302218.2024883463,6647962.36801253,-13825.680101421473
,,
302218.2024883463,6648594.727791805,-13659.346271568575
,,
302218.2024883463,6649227.08757108,-13494.087138646042
,,
,,
,,
302111.5711037747,6649859.447350355,-13380.2816901408
302218.2024883463,6649859.447350355,-13331.972310240795
302218.2024883463,6649670.557655545,-13380.2816901408
,,
,,
301753.3491973786,6650491.80712963,-13380.2816901408
302218.2024883463,6650491.80712963,-13170.54775399217
,,
,,
302218.2024883463,6651124.166908905,-13009.587408791082
,,
,,
302218.2024883463,6651756.52668818,-12849.08764798872
,,
,,
302088.7774490906,6652388.886467455,-12746.478873239394
302218.2024883463,6652388.886467455,-12689.278159342979
302218.2024883463,6652161.747960311,-12746.478873239394
,,
,,
301727.05626237416,6653021.24624673,-12746.478873239394
302218.2024883463,6653021.24624673,-12530.326977582
,,
,,
302736.02831013186,6641638.77021978,-15281.690140845021
302851.70755763154,6641638.77021978,-15225.1688191588
302851.70755763154,6641437.44290663,-15281.690140845021
,,
302371.63916383404,6642271.129999055,-15281.690140845021
302851.70755763154,6642271.129999055,-15048.075931172927
,,
302851.70755763154,6642903.48977833,-14871.646719919077
,,
302851.70755763154,6643535.849557605,-14700.258550509552
,,
302608.93290224974,6644168.20933688,-14647.887323943614
302851.70755763154,6644168.20933688,-14531.583114409063
302851.70755763154,6643731.956737689,-14647.887323943614
,,
,,
,,
302255.4379242424,6644800.569116155,-14647.887323943614
302851.70755763154,6644800.569116155,-14363.48552435212
,,
,,
302851.70755763154,6645432.92889543,-14195.962153689914
,,
,,
302851.70755763154,6646065.288674705,-14029.010584656575
,,
,,
302528.7877830871,6646697.64845398,-14014.084507042207
302851.70755763154,6646697.64845398,-13862.627190603293
302851.70755763154,6646121.9285658235,-14014.084507042207
,,
,,
302851.70755763154,6647330.008233255,-13696.810762647128
,,
,,
302851.70755763154,6647962.36801253,-13531.556465256337
,,
,,
302822.5919987221,6648594.727791805,-13380.2816901408
302851.70755763154,6648594.727791805,-13366.889684972582
302851.70755763154,6648543.124701907,-13380.2816901408
,,
,,
302465.80073731893,6649227.08757108,-13380.2816901408
302851.70755763154,6649227.08757108,-13203.601031236201
,,
302851.70755763154,6649859.447350355,-13043.282602874282
,,
302851.70755763154,6650491.80712963,-12883.434429974579
,,
302801.8669793656,6651124.166908905,-12746.478873239394
302851.70755763154,6651124.166908905,-12724.150805406123
302851.70755763154,6651035.086930233,-12746.478873239394
,,
302446.8350246429,6651756.52668818,-12746.478873239394
302851.70755763154,6651756.52668818,-12565.910446811686
,,
302851.70755763154,6652388.886467455,-12408.114957137805
,,
302851.70755763154,6653021.24624673,-12250.764336384476
,,
,,
303485.2126269167,6638476.971323404,-15804.35551388158
303485.2126269167,6638085.663973418,-15915.492957746428
,,
,,
303485.2126269167,6639109.3311026795,-15625.32236878296
,,
,,
303485.2126269167,6639741.6908819545,-15446.985540255646
,,
303460.10867389955,6640374.0506612295,-15281.690140845021
303485.2126269167,6640374.0506612295,-15269.340192767886
303485.2126269167,6640330.012422207,-15281.690140845021
,,
,,
303098.85148015374,6641006.410440505,-15281.690140845021
303485.2126269167,6641006.410440505,-15092.386326319687
,,
,,
303485.2126269167,6641638.77021978,-14916.115478730488
,,
,,
303485.2126269167,6642271.129999055,-14740.52644111736
,,
,,
303314.72420975694,6642903.48977833,-14647.887323943614
303485.2126269167,6642903.48977833,-14565.614377948554
303485.2126269167,6642605.739563656,-14647.887323943614
,,
,,
302960.5429088138,6643535.849557605,-14647.887323943614
303485.2126269167,6643535.849557605,-14395.794129707396
,,
,,
303485.2126269167,6644168.20933688,-14228.716836848682
,,
303485.2126269167,6644800.569116155,-14062.22585221407
,,
303235.9904025467,6645432.92889543,-14014.084507042207
303485.2126269167,6645432.92889543,-13896.318758037683
303485.2126269167,6644983.833418031,-14014.084507042207
,,
302883.3847443998,6646065.288674705,-14014.084507042207
303485.2126269167,6646065.288674705,-13730.991927670715
,,
303485.2126269167,6646697.64845398,-13566.242943347293
,,
303485.2126269167,6647330.008233255,-13402.068178418613
,,
303178.4069415828,6647962.36801253,-13380.2816901408
303485.2126269167,6647962.36801253,-13238.774689150483
303485.2126269167,6647414.090006884,-13380.2816901408
,,
303485.2126269167,6648594.727791805,-13076.090476882247
,,
,,
,,
303485.2126269167,6649227.08757108,-12914.45799276858
,,
,,
303485.2126269167,6649859.447350355,-12755.721992170264
,,
,,
303154.78196615964,6650491.80712963,-12746.478873239394
303485.2126269167,6650491.80712963,-12598.134430361424
303485.2126269167,6649896.3259983715,-12746.478873239394
,,
,,
303485.2126269167,6651124.166908905,-12441.042510556461
,,
,,
303485.2126269167,6651756.52668818,-12284.401504086734
,,
,,
303485.2126269167,6652388.886467455,-12128.21020206931
,,
,,
303165.6858009703,6653021.24624673,-12112.676056337987
303485.2126269167,6653021.24624673,-11972.467395621246
303485.2126269167,6652451.875429844,-12112.676056337987
,,
,,
,,
304118.71769620193,6637212.251764854,-15845.907238167725
304118.71769620193,6636978.522960329,-15915.492957746428
,,
303622.1195528244,6637844.611544129,-15915.492957746428
304118.71769620193,6637844.611544129,-15666.910359557194
,,
304118.71769620193,6638476.971323404,-15488.631557410823
,,
304118.71769620193,6639109.3311026795,-15311.06841396273
,,
303819.82889093005,6639741.6908819545,-15281.690140845021
304118.71769620193,6639741.6908819545,-15134.213675915307
304118.71769620193,6639214.196918127,-15281.690140845021
,,
304118.71769620193,6640374.0506612295,-14958.064925502676
,,
304118.71769620193,6641006.410440505,-14782.617327193093
,,
304036.3782769488,6641638.77021978,-14647.887323943614
304118.71769620193,6641638.77021978,-14607.867254337747
304118.71769620193,6641493.725783102,-14647.887323943614
,,
303676.3680643117,6642271.129999055,-14647.887323943614
304118.71769620193,6642271.129999055,-14433.809871404897
,,
304118.71769620193,6642903.48977833,-14260.440342862796
,,
304118.71769620193,6643535.849557605,-14092.213402331668
,,
,,
,,
303935.305141505,6644168.20933688,-14014.084507042207
304118.71769620193,6644168.20933688,-13926.75601260758
304118.71769620193,6643834.159416858,-14014.084507042207
,,
,,
303586.62409056834,6644800.569116155,-14014.084507042207
304118.71769620193,6644800.569116155,-13761.893393288152
,,
,,
304118.71769620193,6645432.92889543,-13597.623126607501
,,
,,
304118.71769620193,6646065.288674705,-13433.942794799761
,,
,,
303883.78258872044,6646697.64845398,-13380.2816901408
304118.71769620193,6646697.64845398,-13271.100218866868
304118.71769620193,6646273.090496703,-13380.2816901408
,,
,,
303532.1242495553,6647330.008233255,-13380.2816901408
304118.71769620193,6647330.008233255,-13108.958795037026
,,
,,
304118.71769620193,6647962.36801253,-12947.387963953108
,,
,,
304118.71769620193,6648594.727791805,-12786.386516732186
,,
303854.3770342044,6649227.08757108,-12746.478873239394
304118.71769620193,6649227.08757108,-12627.004972645893
304118.71769620193,6648752.287039177,-12746.478873239394
,,
303505.6186511059,6649859.447350355,-12746.478873239394
304118.71769620193,6649859.447350355,-12470.602116114613
,,
304118.71769620193,6650491.80712963,-12314.657426216192
,,
304118.71769620193,6651124.166908905,-12159.169694067685
,,
303873.0430847535,6651756.52668818,-12112.676056337987
304118.71769620193,6651756.52668818,-12004.137710786159
304118.71769620193,6651313.616248296,-12112.676056337987
,,
303520.456759647,6652388.886467455,-12112.676056337987
304118.71769620193,6652388.886467455,-11849.557849722809
,,
304118.71769620193,6653021.24624673,-11695.428901994692
,,
,,
,,
304731.65241045423,6635947.532206304,-15915.492957746428
304752.22276548715,6635947.532206304,-15905.091728962594
304752.22276548715,6635912.988627053,-15915.492957746428
,,
304354.5421235439,6636579.891985579,-15915.492957746428
304752.22276548715,6636579.891985579,-15715.125446588172
,,
304752.22276548715,6637212.251764854,-15527.881568586272
,,
,,
,,
304752.22276548715,6637844.611544129,-15350.359527158016
,,
,,
304534.66806136526,6638476.971323404,-15281.690140845021
304752.22276548715,6638476.971323404,-15173.567651023277
304752.22276548715,6638089.919202035,-15281.690140845021
,,
,,
304178.0121312452,6639109.3311026795,-15281.690140845021
304752.22276548715,6639109.3311026795,-14997.502313533252
,,
,,
304752.22276548715,6639741.6908819545,-14822.15867915619
,,
,,
304751.4977764705,6640374.0506612295,-14647.887323943614
304752.22276548715,6640374.0506612295,-14647.534330126218
304752.22276548715,6640372.767338313,-14647.887323943614
,,
,,
304394.74518114823,6641006.410440505,-14647.887323943614
304752.22276548715,6641006.410440505,-14473.622013145723
,,
,,
304752.22276548715,6641638.77021978,-14300.41931044883
,,
,,
304752.22276548715,6642271.129999055,-14127.921386503793
,,
,,
304631.42992878996,6642903.48977833,-14014.084507042207
304752.22276548715,6642903.48977833,-13956.123405778864
304752.22276548715,6642689.859933464,-14014.084507042207
,,
,,
304282.05288839724,6643535.849557605,-14014.084507042207
304752.22276548715,6643535.849557605,-13789.511532850622
,,
304752.22276548715,6644168.20933688,-13625.694597271082
,,
304752.22276548715,6644800.569116155,-13462.483312042623
,,
304580.9416936691,6645432.92889543,-13380.2816901408
304752.22276548715,6645432.92889543,-13300.067471786238
304752.22276548715,6645119.942839516,-13380.2816901408
,,
304233.38195907825,6646065.288674705,-13380.2816901408
304752.22276548715,6646065.288674705,-13138.443449853126
,,
304752.22276548715,6646697.64845398,-12977.405736144116
,,
304752.22276548715,6647330.008233255,-12816.949495127461
,,
304556.88172483596,6647962.36801253,-12746.478873239394
304752.22276548715,6647962.36801253,-12657.528057904266
304752.22276548715,6647608.4603589615,-12746.478873239394
,,
,,
,,
304206.1707046526,6648594.727791805,-12746.478873239394
304752.22276548715,6648594.727791805,-12499.027789478529
,,
,,
304752.22276548715,6649227.08757108,-12341.535729421656
,,
,,
304752.22276548715,6649859.447350355,-12186.737060546835
,,
,,
304571.7778324984,6650491.80712963,-12112.676056337987
304752.22276548715,6650491.80712963,-12032.402602719547
304752.22276548715,6650162.668573251,-12112.676056337987
,,
,,
304223.48344237066,6651124.166908905,-12112.676056337987
304752.22276548715,6651124.166908905,-11878.526311525115
,,
,,
304752.22276548715,6651756.52668818,-11725.108186963538
,,
,,
304752.22276548715,6652388.886467455,-11572.147020151879
,,
,,
304615.91516383324,6653021.24624673,-11478.87323943658
304752.22276548715,6653021.24624673,-11419.639184441327
304752.22276548715,6652775.417540422,-11478.87323943658
,,
,,
305385.7278347724,6632785.733309929,-16541.34132492705
305385.7278347724,6632759.729135046,-16549.295774647835
,,
,,
305385.7278347724,6633418.093089204,-16348.403608295226
,,
,,
305385.7278347724,6634050.452868479,-16156.319363016428
,,
,,
305385.7278347724,6634682.812647754,-15965.081335793027
,,
305107.8830440243,6635315.172427029,-15915.492957746428
305385.7278347724,6635315.172427029,-15774.687108859158
305385.7278347724,6634847.242014798,-15915.492957746428
,,
,,
305385.7278347724,6635947.532206304,-15585.12701115133
,,
,,
305385.7278347724,6636579.891985579,-15396.396207137797
,,
,,
305243.4463236211,6637212.251764854,-15281.690140845021
305385.7278347724,6637212.251764854,-15210.449460526539
305385.7278347724,6636969.655488448,-15281.690140845021
,,
304889.8160143306,6637844.611544129,-15281.690140845021
305385.7278347724,6637844.611544129,-15034.431269471024
,,
305385.7278347724,6638476.971323404,-14859.156541421333
,,
305385.7278347724,6639109.3311026795,-14684.620440845709
,,
305106.64572943584,6639741.6908819545,-14647.887323943614
305385.7278347724,6639741.6908819545,-14510.818132212418
305385.7278347724,6639242.7580897985,-14647.887323943614
,,
305385.7278347724,6640374.0506612295,-14337.744779989705
,,
305385.7278347724,6641006.410440505,-14165.396757528768
,,
305343.7074713663,6641638.77021978,-14014.084507042207
305385.7278347724,6641638.77021978,-13993.76922929786
305385.7278347724,6641563.777846053,-14014.084507042207
,,
304988.4241871178,6642271.129999055,-14014.084507042207
305385.7278347724,6642271.129999055,-13822.857359765236
,,
305385.7278347724,6642903.48977833,-13652.657522282087
,,
,,
,,
305385.7278347724,6643535.849557605,-13487.68489461545
,,
,,
305270.0389207525,6644168.20933688,-13380.2816901408
305385.7278347724,6644168.20933688,-13325.672821259788
305385.7278347724,6643954.425107302,-13380.2816901408
,,
,,
304926.4907920538,6644800.569116155,-13380.2816901408
305385.7278347724,6644800.569116155,-13164.544441330556
,,
,,
305385.7278347724,6645432.92889543,-13004.015667337724
,,
,,
305385.7278347724,6646065.288674705,-12844.081663749545
,,
,,
305251.90452881553,6646697.64845398,-12746.478873239394
305385.7278347724,6646697.64845398,-12685.073664490563
305385.7278347724,6646452.360094163,-12746.478873239394
,,
,,
304905.44677753,6647330.008233255,-12746.478873239394
305385.7278347724,6647330.008233255,-12527.164539820667
,,
,,
305385.7278347724,6647962.36801253,-12369.823590130833
,,
305385.7278347724,6648594.727791805,-12213.045979889303
,,
305262.0253754883,6649227.08757108,-12112.676056337987
305385.7278347724,6649227.08757108,-12057.263280304345
305385.7278347724,6649001.898170922,-12112.676056337987
,,
304917.9552546976,6649859.447350355,-12112.676056337987
305385.7278347724,6649859.447350355,-11904.07847014947
,,
305385.7278347724,6650491.80712963,-11751.359079925067
,,
305385.7278347724,6651124.166908905,-11599.102691865264
,,
305313.6059273942,6651756.52668818,-11478.87323943658
305385.7278347724,6651756.52668818,-11447.308097087123
305385.7278347724,6651624.875125246,-11478.87323943658
,,
304965.862528919,6652388.886467455,-11478.87323943658
305385.7278347724,6652388.886467455,-11295.970460058896
,,
305385.7278347724,6653021.24624673,-11145.090989663528
,,
305745.97004389483,6632153.373530654,-16549.295774647835
306019.2329040576,6632153.373530654,-16408.395632891537
306019.2329040576,6631692.622007519,-16549.295774647835
,,
306019.2329040576,6632785.733309929,-16215.777061354896
,,
306019.2329040576,6633418.093089204,-16024.033721064126
,,
