X,Y,Z
,,
305385.7278347724,6652388.886467455,-17378.354945652867
,,
,,
,,
305385.7278347724,6653021.24624673,-17259.06237749981
,,
,,
306019.2329040576,6649227.08757108,-17798.88663493406
306019.2329040576,6649130.8769485345,-17816.90140845065
,,
,,
306019.2329040576,6649859.447350355,-17680.026846872195
,,
,,
306019.2329040576,6650491.80712963,-17561.20574306429
,,
,,
306019.2329040576,6651124.166908905,-17442.42090574447
,,
,,
306019.2329040576,6651756.52668818,-17323.672334912742
,,
306019.2329040576,6652388.886467455,-17204.962448334976
,,
305664.23961541575,6653021.24624673,-17183.098591549242
306019.2329040576,6653021.24624673,-17086.2888282453
306019.2329040576,6652505.379381505,-17183.098591549242
,,
306377.93813646474,6648594.727791805,-17816.90140845065
306652.73797334277,6648594.727791805,-17739.985022746285
306652.73797334277,6648180.465364992,-17816.90140845065
,,
306652.73797334277,6649227.08757108,-17622.452588148466
,,
306652.73797334277,6649859.447350355,-17504.211748149977
,,
306652.73797334277,6650491.80712963,-17386.00717463958
,,
306652.73797334277,6651124.166908905,-17267.841285383143
,,
306531.14281546714,6651756.52668818,-17183.098591549242
306652.73797334277,6651756.52668818,-17149.71408038067
306652.73797334277,6651577.787788167,-17183.098591549242
,,
,,
,,
306099.12669369444,6652388.886467455,-17183.098591549242
306652.73797334277,6652388.886467455,-17031.623141866283
,,
,,
306652.73797334277,6653021.24624673,-16913.570887605856
,,
,,
,,
307286.243042628,6646697.64845398,-17912.209739147722
,,
,,
307211.1631800618,6647330.008233255,-17816.90140845065
307286.243042628,6647330.008233255,-17795.666170791785
307286.243042628,6647214.769694988,-17816.90140845065
,,
,,
306796.67245945206,6647962.36801253,-17816.90140845065
307286.243042628,6647962.36801253,-17679.163704455685
,,
,,
307286.243042628,6648594.727791805,-17562.702340139414
,,
,,
307286.243042628,6649227.08757108,-17446.06689668032
,,
,,
307286.243042628,6649859.447350355,-17328.44258697934
,,
,,
307286.243042628,6650491.80712963,-17210.856961532325
,,
,,
306960.3169802945,6651124.166908905,-17183.098591549242
307286.243042628,6651124.166908905,-17093.31243810514
307286.243042628,6650641.126093013,-17183.098591549242
,,
,,
307286.243042628,6651756.52668818,-16975.804181166044
,,
307286.243042628,6652388.886467455,-16858.337026246783
,,
307286.243042628,6653021.24624673,-16740.90613781561
,,
,,
307919.7481119132,6642903.48977833,-18430.080682458956
307919.7481119132,6642800.679209357,-18450.704225352056
,,
,,
307919.7481119132,6643535.849557605,-18310.65997271465
,,
,,
307919.7481119132,6644168.20933688,-18194.865911779212
,,
,,
307919.7481119132,6644800.569116155,-18079.112952863612
,,
,,
307919.7481119132,6645432.92889543,-17963.40109596784
,,
,,
307919.7481119132,6646065.288674705,-17847.730341091905
,,
307621.4586308951,6646697.64845398,-17816.90140845065
307919.7481119132,6646697.64845398,-17732.10310600168
307919.7481119132,6646233.867130877,-17816.90140845065
,,
307919.7481119132,6647330.008233255,-17616.51455516541
,,
307919.7481119132,6647962.36801253,-17500.967106348977
,,
307919.7481119132,6648594.727791805,-17385.460759552378
,,
307919.7481119132,6649227.08757108,-17269.727142763757
,,
307810.22643779515,6649859.447350355,-17183.098591549242
307919.7481119132,6649859.447350355,-17152.721781126158
307919.7481119132,6649695.2495603785,-17183.098591549242
,,
307386.66852121695,6650491.80712963,-17183.098591549242
307919.7481119132,6650491.80712963,-17035.757521508393
,,
307919.7481119132,6651124.166908905,-16918.83194614459
,,
,,
,,
307919.7481119132,6651756.52668818,-16801.947472800617
,,
,,
307919.7481119132,6652388.886467455,-16685.10168371061
,,
,,
307919.7481119132,6653021.24624673,-16568.296996640434
,,
,,
308288.3615275482,6642271.129999055,-18450.704225352056
308553.25318119844,6642271.129999055,-18374.35601462775
308553.25318119844,6641885.9304942265,-18450.704225352056
,,
308553.25318119844,6642903.48977833,-18249.05529828133
,,
308553.25318119844,6643535.849557605,-18131.1360211439
,,
308553.25318119844,6644168.20933688,-18016.814379624862
,,
308553.25318119844,6644800.569116155,-17902.536257891534
,,
308449.78274873947,6645432.92889543,-17816.90140845065
308553.25318119844,6645432.92889543,-17788.304073709784
308553.25318119844,6645274.597724499,-17816.90140845065
,,
308032.2374077395,6646065.288674705,-17816.90140845065
308553.25318119844,6646065.288674705,-17674.112991547867
,,
,,
,,
308553.25318119844,6646697.64845398,-17559.965429171654
,,
,,
308553.25318119844,6647330.008233255,-17445.861386581153
,,
,,
308553.25318119844,6647962.36801253,-17331.800863776356
,,
,,
308553.25318119844,6648594.727791805,-17217.783860757263
,,
,,
308249.5794484165,6649227.08757108,-17183.098591549242
308553.25318119844,6649227.08757108,-17103.35100200809
308553.25318119844,6648786.377113338,-17183.098591549242
,,
,,
308553.25318119844,6649859.447350355,-16986.737318441847
,,
,,
308553.25318119844,6650491.80712963,-16870.167154661314
,,
,,
308553.25318119844,6651124.166908905,-16753.63567513474
,,
308553.25318119844,6651756.52668818,-16637.145297628
,,
308443.03551762435,6652388.886467455,-16549.295774647835
308553.25318119844,6652388.886467455,-16520.696022141095
308553.25318119844,6652233.556149359,-16549.295774647835
,,
307993.12666692026,6653021.24624673,-16549.295774647835
308553.25318119844,6653021.24624673,-16404.287848674023
,,
,,
309186.75825048366,6640374.0506612295,-18563.81456616893
,,
,,
309148.2468339182,6641006.410440505,-18450.704225352056
309186.75825048366,6641006.410440505,-18439.415676492983
309186.75825048366,6640948.7573997155,-18450.704225352056
,,
,,
308721.89529299573,6641638.77021978,-18450.704225352056
309186.75825048366,6641638.77021978,-18315.63573488042
,,
,,
309186.75825048366,6642271.129999055,-18191.906566351176
,,
,,
309186.75825048366,6642903.48977833,-18068.225753139388
,,
,,
309186.75825048366,6643535.849557605,-17951.846592862785
,,
,,
309186.75825048366,6644168.20933688,-17839.023966184748
,,
,,
308860.9868524737,6644800.569116155,-17816.90140845065
309186.75825048366,6644800.569116155,-17726.24727705829
309186.75825048366,6644292.238154671,-17816.90140845065
,,
,,
309186.75825048366,6645432.92889543,-17613.518943249284
,,
,,
309186.75825048366,6646065.288674705,-17500.834129225987
,,
309186.75825048366,6646697.64845398,-17388.195252754263
,,
309186.75825048366,6647330.008233255,-17275.602313834122
,,
309111.50439055345,6647962.36801253,-17183.098591549242
309186.75825048366,6647962.36801253,-17163.05531246556
309186.75825048366,6647849.734716273,-17183.098591549242
,,
308684.6405240592,6648594.727791805,-17183.098591549242
309186.75825048366,6648594.727791805,-17050.554248648576
,,
309186.75825048366,6649227.08757108,-16937.443907831705
,,
309186.75825048366,6649859.447350355,-16821.2146490392
,,
309186.75825048366,6650491.80712963,-16705.026492266534
,,
,,
,,
309186.75825048366,6651124.166908905,-16588.881855279575
