X,Y,Z
340850.8855499684,6624565.056179354,-704.2253521126622
340862.0117147442,6624565.056179354,-692.1981757795147
340862.0117147442,6624504.749651331,-704.2253521126622
,,
,,
341436.9280049624,6624565.056179354,-70.42253521125531
,,
341495.51678402943,6624234.682545281,-70.42253521125531
,,
,,
,,
342115.0537315935,6620770.897503704,-70.42253521125531
,,
342129.02185331465,6620693.434974589,-70.42253521125531
,,
342001.23045597656,6621403.257282979,-70.42253521125531
,,
,,
,,
,,
342720.255229668,6599903.024787628,-6408.450704225324
342762.5269225999,6599903.024787628,-6372.212020444174
342762.5269225999,6599794.588825722,-6408.450704225324
,,
342479.2205479262,6600535.384566903,-6408.450704225324
342762.5269225999,6600535.384566903,-6166.270350066683
,,
,,
342674.34892513254,6614447.299710954,-704.2253521126622
342762.5269225999,6614447.299710954,-589.1535987316602
342762.5269225999,6613929.667070588,-704.2253521126622
,,
,,
342757.61633032694,6616976.738828054,-70.42253521125531
,,
342762.5269225999,6616945.861885706,-70.42253521125531
,,
,,
,,
,,
343231.31448729796,6598638.305229078,-6408.450704225324
343396.03199188504,6598638.305229078,-6269.0652927881965
343396.03199188504,6598251.195213442,-6408.450704225324
,,
342970.7631012275,6599270.665008353,-6408.450704225324
343396.03199188504,6599270.665008353,-6050.425516047922
,,
343396.03199188504,6599903.024787628,-5842.310274150979
,,
343234.56243809266,6600535.384566903,-5774.6478873239175
343396.03199188504,6600535.384566903,-5643.979730740371
343396.03199188504,6600115.390607667,-5774.6478873239175
,,
,,
,,
343066.7999796355,6601167.744346178,-5774.6478873239175
343396.03199188504,6601167.744346178,-5507.697521800699
,,
343202.68225439964,6601800.104125453,-5774.6478873239175
343396.03199188504,6601800.104125453,-5611.118665883216
,,
343353.3446385836,6602432.463904728,-5774.6478873239175
343396.03199188504,6602432.463904728,-5736.733691793066
,,
343396.03199188504,6602599.94236983,-5774.6478873239175
343371.3533657577,6610653.1410353035,-1971.830985915476
343396.03199188504,6610653.1410353035,-1915.9618565733836
343396.03199188504,6610607.182636429,-1971.830985915476
,,
343338.5161965627,6611285.5008145785,-1338.0281690140691
343396.03199188504,6611285.5008145785,-1229.6977513272868
343396.03199188504,6611164.955301845,-1338.0281690140691
,,
,,
,,
343126.800070655,6612550.220373129,-704.2253521126622
343396.03199188504,6612550.220373129,-323.4888802111891
343396.03199188504,6611918.092170921,-704.2253521126622
,,
343355.10394526407,6613182.580152404,-70.42253521125531
,,
343396.03199188504,6613063.742520544,-70.42253521125531
,,
,,
343256.3604411938,6613814.939931679,-70.42253521125531
,,
,,
343157.27860891575,6614447.299710954,-70.42253521125531
,,
,,
,,
,,
,,
343786.5787419043,6597373.585670528,-6408.450704225324
344029.53706117027,6597373.585670528,-6203.957275605513
344029.53706117027,6596849.767992648,-6408.450704225324
,,
343503.156368988,6598005.945449803,-6408.450704225324
344029.53706117027,6598005.945449803,-5969.60564734228
,,
343996.5258946113,6598638.305229078,-5774.6478873239175
344029.53706117027,6598638.305229078,-5747.901352358509
344029.53706117027,6598560.1576178055,-5774.6478873239175
,,
343734.07987057726,6599270.665008353,-5774.6478873239175
344029.53706117027,6599270.665008353,-5537.84585334883
,,
343479.71505744907,6599903.024787628,-5774.6478873239175
344029.53706117027,6599903.024787628,-5338.546994706252
,,
,,
,,
,,
344029.53706117027,6600535.384566903,-5149.198451512275
,,
343865.331882155,6601167.744346178,-5140.845070422511
344029.53706117027,6601167.744346178,-5015.149653797394
344029.53706117027,6600574.694774129,-5140.845070422511
,,
343965.7283611832,6601800.104125453,-5140.845070422511
344029.53706117027,6601800.104125453,-5088.979761365408
,,
344029.53706117027,6602178.037899786,-5140.845070422511
344029.53706117027,6602432.463904728,-5179.772309853972
,,
343520.8364344745,6603064.823684003,-5774.6478873239175
344029.53706117027,6603064.823684003,-5294.129008978161
,,
343706.8009505101,6603697.183463278,-5774.6478873239175
344029.53706117027,6603697.183463278,-5442.593131266825
,,
,,
343952.9395549292,6610020.781256028,-1338.0281690140691
344029.53706117027,6610020.781256028,-1163.1269857916923
344029.53706117027,6609866.078125823,-1338.0281690140691
,,
343945.77666344447,6610653.1410353035,-704.2253521126622
344029.53706117027,6610653.1410353035,-564.9874243937593
344029.53706117027,6610462.524161531,-704.2253521126622
343643.08891572524,6610653.1410353035,-1338.0281690140691
,,
,,
343669.63318025554,6611285.5008145785,-704.2253521126622
344029.53706117027,6611285.5008145785,-137.71983939156053
,,
,,
,,
343822.3835328075,6611917.8605938535,-70.42253521125531
,,
344029.53706117027,6611392.219246566,-70.42253521125531
,,
,,
343574.34062390466,6612550.220373129,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
344383.41869998653,6596108.866111978,-6408.450704225324
344663.0421304555,6596108.866111978,-6158.202265349886
344663.0421304555,6595490.526394337,-6408.450704225324
,,
344082.7319219533,6596741.225891253,-6408.450704225324
344663.0421304555,6596741.225891253,-5915.567371207195
,,
344557.35806486564,6597373.585670528,-5774.6478873239175
344663.0421304555,6597373.585670528,-5685.347704820204
344663.0421304555,6597124.3990967395,-5774.6478873239175
,,
344281.2822473183,6598005.945449803,-5774.6478873239175
344663.0421304555,6598005.945449803,-5466.616052976773
,,
,,
,,
,,
344663.0421304555,6598638.305229078,-5258.529824270307
,,
