X,Y,Z
338918.1904962929,6625197.415958629,-1338.0281690140691
338961.4965068886,6625197.415958629,-1268.120282132848
338961.4965068886,6625028.007684631,-1338.0281690140691
,,
,,
338830.9308182467,6627094.495296454,-704.2253521126622
338961.4965068886,6627094.495296454,-491.19176998943294
338961.4965068886,6626576.901252267,-704.2253521126622
,,
,,
338901.98940840043,6628359.214855004,-70.42253521125531
,,
338961.4965068886,6628121.558889374,-70.42253521125531
,,
338743.89347016555,6628991.574634279,-70.42253521125531
,,
,,
,,
339506.1469222909,6621403.257282979,-1971.830985915476
339595.0015761738,6621403.257282979,-1830.4164644697885
339595.0015761738,6621066.621419036,-1971.830985915476
,,
339339.9504401098,6622035.617062254,-1971.830985915476
339595.0015761738,6622035.617062254,-1565.3803650761838
,,
339571.8889263224,6622667.976841529,-1338.0281690140691
339595.0015761738,6622667.976841529,-1300.7752324493704
339595.0015761738,6622579.57229597,-1338.0281690140691
,,
,,
339407.0844230533,6623300.336620804,-1338.0281690140691
339595.0015761738,6623300.336620804,-1034.9575902374563
,,
339243.15957312443,6623932.696400079,-1338.0281690140691
339595.0015761738,6623932.696400079,-770.2756935441867
,,
339472.7394284028,6624565.056179354,-704.2253521126622
339595.0015761738,6624565.056179354,-503.90619627185515
339595.0015761738,6624090.92143152,-704.2253521126622
339080.1337095762,6624565.056179354,-1338.0281690140691
,,
339310.6898833971,6625197.415958629,-704.2253521126622
339595.0015761738,6625197.415958629,-238.73651531379437
,,
,,
,,
339537.8724416603,6625829.775737904,-70.42253521125531
,,
339595.0015761738,6625603.631082343,-70.42253521125531
339150.3996450717,6625829.775737904,-704.2253521126622
,,
339378.3748579932,6626462.135517179,-70.42253521125531
,,
338990.4767345149,6626462.135517179,-704.2253521126622
,,
339219.23493557435,6627094.495296454,-70.42253521125531
,,
,,
,,
,,
339060.43334136327,6627726.855075729,-70.42253521125531
,,
,,
,,
,,
,,
340181.0246981273,6618873.818165879,-1971.830985915476
340228.506645459,6618873.818165879,-1896.6928670103953
340228.506645459,6618700.637115488,-1971.830985915476
,,
340010.3332840429,6619506.177945154,-1971.830985915476
340228.506645459,6619506.177945154,-1625.594219691302
,,
,,
340071.754353535,6620770.897503704,-1338.0281690140691
340228.506645459,6620770.897503704,-1085.400648520008
340228.506645459,6620182.354035429,-1338.0281690140691
,,
339904.2142250431,6621403.257282979,-1338.0281690140691
340228.506645459,6621403.257282979,-815.1651436174288
,,
,,
340130.60412864806,6622035.617062254,-704.2253521126622
340228.506645459,6622035.617062254,-542.9367951943714
340228.506645459,6621663.704291679,-704.2253521126622
339737.6020824924,6622035.617062254,-1338.0281690140691
,,
,,
339964.83297335677,6622667.976841529,-704.2253521126622
340228.506645459,6622667.976841529,-270.28775550948194
,,
340185.49063047,6623300.336620804,-70.42253521125531
,,
340228.506645459,6623134.469546132,-70.42253521125531
339799.9414714057,6623300.336620804,-704.2253521126622
,,
340022.01044047135,6623932.696400079,-70.42253521125531
,,
339635.91028975433,6623932.696400079,-704.2253521126622
,,
339859.33257165115,6624565.056179354,-70.42253521125531
,,
,,
,,
,,
339697.7276865756,6625197.415958629,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
340757.74862762704,6618241.458386604,-1338.0281690140691
340862.0117147442,6618241.458386604,-1170.5978823379555
340862.0117147442,6617872.0447185505,-1338.0281690140691
,,
340581.25730140926,6618873.818165879,-1338.0281690140691
340862.0117147442,6618873.818165879,-885.6913741205644
,,
,,
340802.5529488572,6619506.177945154,-704.2253521126622
340862.0117147442,6619506.177945154,-605.526709220765
340862.0117147442,6619286.942005442,-704.2253521126622
340409.5992353026,6619506.177945154,-1338.0281690140691
,,
,,
340633.2245141241,6620138.537724429,-704.2253521126622
340862.0117147442,6620138.537724429,-324.9171754004128
340240.2128014481,6620138.537724429,-1338.0281690140691
,,
340847.6085996131,6620770.897503704,-70.42253521125531
,,
340862.0117147442,6620716.41899855,-70.42253521125531
340464.7853992514,6620770.897503704,-704.2253521126622
,,
,,
,,
340680.8417927389,6621403.257282979,-70.42253521125531
,,
340297.2549372796,6621403.257282979,-704.2253521126622
,,
,,
340514.8966400835,6622035.617062254,-70.42253521125531
,,
,,
,,
,,
340349.78280816734,6622667.976841529,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
341390.5867070169,6606226.622580378,-5774.6478873239175
341495.51678402943,6606226.622580378,-5651.184673040661
341495.51678402943,6605784.455116919,-5774.6478873239175
,,
,,
341489.43654280965,6615712.019269504,-1338.0281690140691
341495.51678402943,6615712.019269504,-1328.3444122529181
341495.51678402943,6615691.601891376,-1338.0281690140691
,,
341302.54404083267,6616344.379048779,-1338.0281690140691
341495.51678402943,6616344.379048779,-1029.8156066679512
,,
,,
341331.7562649443,6617609.098607329,-704.2253521126622
341495.51678402943,6617609.098607329,-429.6807839836765
341495.51678402943,6617040.5383101795,-704.2253521126622
,,
341151.92998924985,6618241.458386604,-704.2253521126622
341495.51678402943,6618241.458386604,-129.50427095653868
,,
,,
341354.5885857093,6618873.818165879,-70.42253521125531
,,
341495.51678402943,6618367.26262858,-70.42253521125531
340974.4913440503,6618873.818165879,-704.2253521126622
,,
,,
341183.65550861927,6619506.177945154,-70.42253521125531
,,
,,
,,
,,
341015.2067272264,6620138.537724429,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
341992.4339225743,6601167.744346178,-6408.450704225324
342129.02185331465,6601167.744346178,-6265.762624606257
342129.02185331465,6600679.3965558205,-6408.450704225324
,,
,,
341990.1429572816,6603697.183463278,-5774.6478873239175
342129.02185331465,6603697.183463278,-5616.27455160649
342129.02185331465,6603110.203140209,-5774.6478873239175
,,
341840.408559039,6604329.543242553,-5774.6478873239175
342129.02185331465,6604329.543242553,-5440.038761622447
,,
341690.57749559416,6604961.903021828,-5774.6478873239175
342129.02185331465,6604961.903021828,-5257.679979566092
,,
342070.7617359352,6605594.262801103,-5140.845070422511
342129.02185331465,6605594.262801103,-5068.872411486103
342129.02185331465,6605355.815613826,-5140.845070422511
341540.6304339067,6605594.262801103,-5774.6478873239175
,,
341916.3390753848,6606226.622580378,-5140.845070422511
342129.02185331465,6606226.622580378,-4873.2685035382965
,,
,,
,,
341762.0710791579,6606858.982359653,-5140.845070422511
342129.02185331465,6606858.982359653,-4670.494710895349
,,
342024.20777454483,6607491.342138928,-4507.042253521104
342129.02185331465,6607491.342138928,-4366.3439952151675
342129.02185331465,6607198.483989808,-4507.042253521104
341535.6811755529,6607491.342138928,-5140.845070422511
,,
341774.90821801306,6608123.701918203,-4507.042253521104
342129.02185331465,6608123.701918203,-4025.0261736587563
,,
,,
341999.8964761859,6608756.061697478,-3873.239436619697
342129.02185331465,6608756.061697478,-3691.3182701862825
