X,Y,Z
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
280679.0301326491,6598375.918762436,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
281312.5352019343,6598319.288520362,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
281946.0402712195,6598262.793364911,-70.42253521125531
281946.0402712195,6598267.357362952,-704.2253521126622
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
282579.54534050473,6598206.423647038,-70.42253521125531
282579.54534050473,6598211.1227317015,-704.2253521126622
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
283213.05040978995,6598150.179366743,-70.42253521125531
283213.05040978995,6598155.023187074,-704.2253521126622
283213.05040978995,6598163.803817554,-1338.0281690140691
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
283846.5554790752,6598094.060524027,-70.42253521125531
283846.5554790752,6598099.049080025,-704.2253521126622
283846.5554790752,6598108.032340439,-1338.0281690140691
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
284480.06054836034,6598038.067118889,-70.42253521125531
284480.06054836034,6598043.190761509,-704.2253521126622
284480.06054836034,6598052.386300903,-1338.0281690140691
284480.06054836034,6598061.523946028,-1971.830985915476
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
285113.56561764557,6597982.565815019,-70.42253521125531
284844.14036601107,6598005.945449803,-70.42253521125531
284903.3188028117,6598005.945449803,-704.2253521126622
285113.56561764557,6597987.737702862,-704.2253521126622
285009.8003563199,6598005.945449803,-1338.0281690140691
285113.56561764557,6597996.981487478,-1338.0281690140691
285113.56561764557,6598005.945449803,-1954.3940584424345
,,
285113.56561764557,6598006.205974004,-1971.830985915476
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
