X,Y,Z
301545.5576786812,6560064.358693302,-70.42253521125531
,,
301584.6974190611,6559594.329613896,-70.42253521125531
301584.6974190611,6560064.358693302,-85.73847757258045
301493.397135562,6560696.718472577,-70.42253521125531
,,
301584.6974190611,6560696.718472577,-106.352953843656
301441.7875840954,6561329.078251852,-70.42253521125531
,,
301584.6974190611,6561329.078251852,-126.97710117822135
301390.7290242815,6561961.438031127,-70.42253521125531
,,
301584.6974190611,6561961.438031127,-147.61273290068493
301340.2021230798,6562593.797810402,-70.42253521125531
,,
301584.6974190611,6562593.797810402,-168.25803568663832
301290.1972139701,6563226.157589677,-70.42253521125531
,,
301584.6974190611,6563226.157589677,-188.91421841902047
301250.42914977577,6563858.517368952,-70.42253521125531
,,
301584.6974190611,6563858.517368952,-205.3997550212007
301254.3344239456,6564490.877148227,-70.42253521125531
,,
301584.6974190611,6564490.877148227,-203.17178376961965
301258.2590311558,6565123.236927502,-70.42253521125531
,,
301584.6974190611,6565123.236927502,-200.95348358152842
301262.2126379267,6565755.596706777,-70.42253521125531
,,
301584.6974190611,6565755.596706777,-198.744854456927
301266.18557773804,6566387.956486052,-70.42253521125531
,,
301584.6974190611,6566387.956486052,-196.54529195435316
301270.18751711,6567020.316265327,-70.42253521125531
,,
301584.6974190611,6567020.316265327,-194.3547960737924
301274.19912300224,6567652.676044602,-70.42253521125531
,,
301584.6974190611,6567652.676044602,-192.17336681525921
301278.2397284552,6568285.035823877,-70.42253521125531
,,
301584.6974190611,6568285.035823877,-190.00160862021585
301282.2996669485,6568917.395603152,-70.42253521125531
,,
301584.6974190611,6568917.395603152,-187.8389170471928
301286.38860500255,6569549.755382427,-70.42253521125531
,,
301584.6974190611,6569549.755382427,-185.68468765472062
301300.153729799,6570182.115161702,-70.42253521125531
,,
301584.6974190611,6570182.115161702,-180.51610866061674
301318.6361164639,6570814.474940977,-70.42253521125531
,,
301584.6974190611,6570814.474940977,-173.82010607651318
301337.3021670131,6571446.834720252,-70.42253521125531
,,
301584.6974190611,6571446.834720252,-166.99293969381688
301356.17121448694,6572079.194499527,-70.42253521125531
,,
301584.6974190611,6572079.194499527,-160.0309828637255
301375.24325888546,6572711.554278802,-70.42253521125531
,,
301584.6974190611,6572711.554278802,-152.9306089374295
301394.5183002086,6573343.914058077,-70.42253521125531
,,
301584.6974190611,6573343.914058077,-145.6869823831803
301414.00600497663,6573976.273837352,-70.42253521125531
,,
301584.6974190611,6573976.273837352,-138.29526766923664
301433.69670666935,6574608.633616627,-70.42253521125531
,,
301584.6974190611,6574608.633616627,-130.75244258825842
301453.6097383272,6575240.993395902,-70.42253521125531
,,
301584.6974190611,6575240.993395902,-123.05246272555814
301480.9369909955,6575873.353175177,-70.42253521125531
,,
301584.6974190611,6575873.353175177,-112.24384039219149
301541.5557393092,6576505.712954452,-70.42253521125531
,,
301584.6974190611,6576505.712954452,-87.78874303252087
301584.6974190611,6576956.029035978,-70.42253521125531
301877.43831747165,6551843.681562726,-70.42253521125531
,,
,,
302218.2024883463,6551843.681562726,-209.28873142724478
301863.61519355385,6552476.041342001,-70.42253521125531
,,
302218.2024883463,6552476.041342001,-213.98524163473485
301849.6567383529,6553108.401121276,-70.42253521125531
,,
302218.2024883463,6553108.401121276,-218.67147633725835
