X,Y,Z,fault_name
320622.62,6614709.07,263.46,Zuleika Fault
321345.44,6615396.72,-925.91,Zuleika Fault
322048.51,6615929.36,-1739.92,Zuleika Fault
323000.1,6616653.72,-2517.28,Zuleika Fault
324125.84,6617494.04,-3403.47,Zuleika Fault
326233.49,6619115.01,-4787.18,Zuleika Fault
327650.65,6620080.67,-5493.47,Zuleika Fault
328503.08,6620461.44,-5954.33,Zuleika Fault
330702.7,6621414.06,-7472.41,Zuleika Fault
308172.38,6629403.97,350.01,Zuleika Fault
308839.84,6629835.03,-267.75,Zuleika Fault
310781.68,6630961.79,-1715.79,Zuleika Fault
312409.57,6631873.49,-3043.98,Zuleika Fault
314138.9,6632739.26,-4129.83,Zuleika Fault
314167.32,6632750.83,-4157.58,Zuleika Fault
315152.88,6633473.95,-4941.3,Zuleika Fault
317020.51,6634775.71,-6157.8,Zuleika Fault
318038.12,6635654.94,-6920.82,Zuleika Fault
318802.21,6636039.33,-7232.25,Zuleika Fault
316059.21,6620304.05,414.21,Zuleika Fault
317075.16,6620323.53,-1043.94,Zuleika Fault
318205.69,6620359.72,-2213.07,Zuleika Fault
320209.87,6620427.52,-3353.55,Zuleika Fault
310995.0924,6625806.561,430,Zuleika Fault
311509.2708,6625160.295,423,Zuleika Fault
311824.3382,6624764.29,421,Zuleika Fault
312250.7659,6624271.521,418,Zuleika Fault
312820.9475,6623612.634,415,Zuleika Fault
313040.7352,6623366.755,409,Zuleika Fault
313192.8054,6623209.607,408,Zuleika Fault
313692.9692,6622692.739,408,Zuleika Fault
314916.1216,6621428.738,394,Zuleika Fault
315513.6242,6620811.281,389,Zuleika Fault
316111.1267,6620193.824,385,Zuleika Fault
316504.0705,6619794.579,384,Zuleika Fault
316995.2894,6619295.483,381,Zuleika Fault
317339.3975,6618968.066,375,Zuleika Fault
317767.9212,6618560.327,378,Zuleika Fault
317996.7743,6618342.574,373,Zuleika Fault
318225.6273,6618124.821,371,Zuleika Fault
318191.9216,6617818.144,372,Zuleika Fault
318172.3215,6617639.812,372,Zuleika Fault
318154.7307,6617465.063,370,Zuleika Fault
318136.2255,6617263.855,357,Zuleika Fault
318401.0785,6616932.388,367,Zuleika Fault
318804.9805,6616430.926,380,Zuleika Fault
318998.6775,6616224.281,380,Zuleika Fault
319626.7221,6615554.252,386,Zuleika Fault
320451.4127,6614691.326,384,Zuleika Fault
320462.8236,6614605.328,385,Zuleika Fault
320763.3575,6614334.081,389,Zuleika Fault
321063.8914,6614062.835,386,Zuleika Fault
321320.4559,6613777.48,392,Zuleika Fault
321729.6827,6613322.332,395,Zuleika Fault
321979.7126,6613077.972,398,Zuleika Fault
322526.1744,6612543.904,397,Zuleika Fault
323248.4181,6611850.624,400,Zuleika Fault
323970.6617,6611157.344,403,Zuleika Fault
324758.4173,6610267.044,392.54056,Zuleika Fault
325761.4326,6609091.851,385.98495,Zuleika Fault
326259.7177,6608325.206,376.42685,Zuleika Fault
326760.6465,6607515.959,375.34674,Zuleika Fault
327012.3325,6607109.361,373.53787,Zuleika Fault
327463.4704,6606096.849,369.7963,Zuleika Fault
327753.0412,6605507.858,369.81305,Zuleika Fault
327869.8514,6605270.265,369.02594,Zuleika Fault
327951.4348,6605104.323,368.08826,Zuleika Fault
