field_1,X,Y,Z,fault_name
"495",320622.619999999995343,6614709.070000000298023,263.459999999999980,Zuleika Fault
"496",321345.440000000002328,6615396.719999999739230,-925.909999999999968,Zuleika Fault
"497",322048.510000000009313,6615929.360000000335276,-1739.920000000000073,Zuleika Fault
"498",323000.099999999976717,6616653.719999999739230,-2517.280000000000200,Zuleika Fault
"499",324125.840000000025611,6617494.040000000037253,-3403.469999999999800,Zuleika Fault
"500",326233.489999999990687,6619115.009999999776483,-4787.180000000000291,Zuleika Fault
"501",327650.650000000023283,6620080.669999999925494,-5493.470000000000255,Zuleika Fault
"502",328503.080000000016298,6620461.440000000409782,-5954.329999999999927,Zuleika Fault
"503",330702.700000000011642,6621414.059999999590218,-7472.409999999999854,Zuleika Fault
"531",308172.380000000004657,6629403.969999999739230,350.009999999999991,Zuleika Fault
"532",308839.840000000025611,6629835.030000000260770,-267.750000000000000,Zuleika Fault
"533",310781.679999999993015,6630961.790000000037253,-1715.789999999999964,Zuleika Fault
"534",312409.570000000006985,6631873.490000000223517,-3043.980000000000018,Zuleika Fault
"535",314138.900000000023283,6632739.259999999776483,-4129.829999999999927,Zuleika Fault
"536",314167.320000000006985,6632750.830000000074506,-4157.579999999999927,Zuleika Fault
"537",315152.880000000004657,6633473.950000000186265,-4941.300000000000182,Zuleika Fault
"538",317020.510000000009313,6634775.709999999962747,-6157.800000000000182,Zuleika Fault
"539",318038.119999999995343,6635654.940000000409782,-6920.819999999999709,Zuleika Fault
"540",318802.209999999962747,6636039.330000000074506,-7232.250000000000000,Zuleika Fault
"553",316059.210000000020955,6620304.049999999813735,414.209999999999980,Zuleika Fault
"554",317075.159999999974389,6620323.530000000260770,-1043.940000000000055,Zuleika Fault
"555",318205.690000000002328,6620359.719999999739230,-2213.070000000000164,Zuleika Fault
"556",320209.869999999995343,6620427.519999999552965,-3353.550000000000182,Zuleika Fault
"557",310995.092408637516201,6625806.561178209260106,430.000000000000000,Zuleika Fault
"558",311509.270804563420825,6625160.295275663957000,423.000000000000000,Zuleika Fault
"559",311824.338167991954833,6624764.290123367682099,421.000000000000000,Zuleika Fault
"560",312250.765944839396980,6624271.521216649562120,418.000000000000000,Zuleika Fault
"561",312820.947536998544820,6623612.634120065718889,415.000000000000000,Zuleika Fault
"562",313040.735224524978548,6623366.755487048067153,409.000000000000000,Zuleika Fault
"563",313192.805410408298485,6623209.606696602888405,408.000000000000000,Zuleika Fault
"564",313692.969237554527353,6622692.739172556437552,408.000000000000000,Zuleika Fault
"565",314916.121602533617988,6621428.737859231419861,394.000000000000000,Zuleika Fault
"566",315513.624158320890274,6620811.280838487669826,389.000000000000000,Zuleika Fault
"567",316111.126714108861051,6620193.823817762546241,385.000000000000000,Zuleika Fault
"568",316504.070549650350586,6619794.579101763665676,384.000000000000000,Zuleika Fault
"569",316995.289439834596124,6619295.483484119176865,381.000000000000000,Zuleika Fault
"570",317339.397549593355507,6618968.065711216069758,375.000000000000000,Zuleika Fault
"571",317767.921210409898777,6618560.326809749938548,378.000000000000000,Zuleika Fault
"572",317996.774278991972096,6618342.573842269368470,373.000000000000000,Zuleika Fault
"573",318225.627347572823055,6618124.820874791592360,371.000000000000000,Zuleika Fault
"574",318191.921598512912169,6617818.143903446383774,372.000000000000000,Zuleika Fault
"575",318172.321536103845574,6617639.811740832403302,372.000000000000000,Zuleika Fault
"576",318154.730679220345337,6617465.062642116099596,370.000000000000000,Zuleika Fault
"577",318136.225499922176823,6617263.855400051921606,357.000000000000000,Zuleika Fault
"578",318401.078471620741766,6616932.387634868733585,367.000000000000000,Zuleika Fault
"579",318804.980468165187631,6616430.925915477797389,380.000000000000000,Zuleika Fault
"580",318998.677540175442118,6616224.280524891801178,380.000000000000000,Zuleika Fault
"581",319626.722059624851681,6615554.252301557920873,386.000000000000000,Zuleika Fault
"582",320451.412742822139990,6614691.326196346431971,384.000000000000000,Zuleika Fault
"583",320462.823647671437357,6614605.327596900984645,385.000000000000000,Zuleika Fault
"584",320763.357513232738711,6614334.081213532015681,389.000000000000000,Zuleika Fault
"585",321063.891378791071475,6614062.834830166772008,386.000000000000000,Zuleika Fault
"586",321320.455873240425717,6613777.480016527697444,392.000000000000000,Zuleika Fault
"587",321729.682741162599996,6613322.331860194914043,395.000000000000000,Zuleika Fault
"588",321979.712640025652945,6613077.972350990399718,398.000000000000000,Zuleika Fault
"589",322526.174442975257989,6612543.903671313077211,397.000000000000000,Zuleika Fault
"590",323248.418094070337247,6611850.624031146056950,400.000000000000000,Zuleika Fault
"591",323970.661745163029991,6611157.344390999525785,403.000000000000000,Zuleika Fault
"592",324758.417319011117797,6610267.044455200433731,392.540560000000028,Zuleika Fault
"593",325761.432563196867704,6609091.851090045645833,385.984950000000026,Zuleika Fault
"594",326259.717731326934882,6608325.206049939617515,376.426850000000002,Zuleika Fault
"595",326760.646516073262319,6607515.958546127192676,375.346740000000011,Zuleika Fault
"596",327012.332476101699285,6607109.361358878202736,373.537869999999998,Zuleika Fault
"597",327463.470433631911874,6606096.848783485591412,369.796299999999974,Zuleika Fault
"598",327753.041217127291020,6605507.858149341307580,369.813049999999976,Zuleika Fault
"599",327869.851401549240109,6605270.264757609926164,369.025939999999991,Zuleika Fault
"600",327951.434792548127007,6605104.323109018616378,368.088259999999991,Zuleika Fault
"601",328042.612000630237162,6604918.867515202611685,366.013149999999996,Zuleika Fault
"727",310314.919047829811461,6626716.632896655239165,434.000000000000000,Zuleika Fault
"728",309634.745687022106722,6627626.704615100286901,435.999970000000019,Zuleika Fault
"729",310669.138826721347868,6626242.686956607736647,433.000000000000000,Zuleika Fault
"730",308720.813288798788562,6628711.825591919012368,426.026090000000011,Zuleika Fault
"731",307897.868307512428146,6629511.235642714425921,419.948879999999974,Zuleika Fault
"732",306989.044177393196151,6630348.821142870932817,413.000000000000000,Zuleika Fault
"733",305871.119900018267799,6631183.629817404784262,423.757929999999988,Zuleika Fault
"734",303881.789823279075790,6632553.825024954974651,437.930240000000026,Zuleika Fault
"735",305019.884417162335012,6631769.976497085765004,424.820859999999982,Zuleika Fault
"736",302534.168309241882525,6633444.596939736977220,438.178620000000024,Zuleika Fault
