FEATURE,TYPE,STRIKE,DIP_DIR,DIP,PLUNGE,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,raster_z,X,Y
"Bedding, showing strike and dip",inclined,"65","155","60","0","0","0","0",,BEIN,"65","Bedding, showing strike and dip; inclined","425",297861.229,6651360.495
"Bedding, showing strike and dip",inclined,"65","155","70","0","0","0","0",,BEIN,"65","Bedding, showing strike and dip; inclined","449",298512.929,6650391.366
"Bedding, showing strike and dip",inclined,"330","60","80","0","0","0","0",,BEIN,"330","Bedding, showing strike and dip; inclined","430",331298.208,6647660.944
"Bedding, showing strike and dip",inclined,"95","185","70","0","0","0","0",,BEIN,"95","Bedding, showing strike and dip; inclined","444",308112.661,6644701.865
"Bedding, showing strike and dip",inclined,"100","190","40","0","0","0","0",,BEIN,"100","Bedding, showing strike and dip; inclined","454",304359.894,6644293.390
"Bedding, showing strike and dip",inclined,"105","195","50","0","0","0","0",,BEIN,"105","Bedding, showing strike and dip; inclined","443",304486.984,6643509.330
"Bedding, showing strike and dip",inclined,"50","140","60","0","0","0","0",,BEIN,"50","Bedding, showing strike and dip; inclined","431",295223.723,6639518.921
"Bedding, showing strike and dip",inclined,"298","28","50","0","0","0","0",,BEIN,"298","Bedding, showing strike and dip; inclined","447",303817.680,6639111.911
"Bedding, showing strike and dip",vertical,"335","65","90","0","0","0","0",,BEVE,"335","Bedding, showing strike and dip; vertical","435",335946.742,6635530.989
"Bedding, showing strike and dip",vertical,"320","50","90","0","0","0","0",,BEVE,"320","Bedding, showing strike and dip; vertical","428",335007.613,6634850.488
"Bedding, showing strike and dip",inclined,"340","70","82","0","0","0","0",,BEIN,"340","Bedding, showing strike and dip; inclined","427",336404.618,6634192.018
"Bedding, showing strike and dip",vertical,"330","60","90","0","0","0","0",,BEVE,"330","Bedding, showing strike and dip; vertical","423",335362.710,6633913.853
"Bedding, showing strike and dip",inclined,"295","25","24","0","0","0","0",,BEIN,"295","Bedding, showing strike and dip; inclined","419",336377.669,6633839.951
"Bedding, showing strike and dip",vertical,"320","50","90","0","0","0","0",,BEVE,"320","Bedding, showing strike and dip; vertical","418",335588.297,6633297.908
"Bedding, showing strike and dip",vertical,"325","55","90","0","0","0","0",,BEVE,"325","Bedding, showing strike and dip; vertical","415",336042.887,6633047.849
"Bedding, showing strike and dip",inclined,"305","35","60","0","0","0","0",,BEIN,"305","Bedding, showing strike and dip; inclined","431",314514.252,6632129.808
"Bedding, showing strike and dip",vertical,"320","50","90","0","0","0","0",,BEVE,"320","Bedding, showing strike and dip; vertical","411",336592.782,6632357.481
"Bedding, showing strike and dip",inclined,"185","275","50","0","0","0","0",,BEIN,"185","Bedding, showing strike and dip; inclined","445",323020.392,6631553.313
"Bedding, showing strike and dip",inclined,"90","180","85","0","0","0","0",,BEIN,"90","Bedding, showing strike and dip; inclined","434",319514.141,6631089.274
"Bedding, showing strike and dip",inclined,"135","225","70","0","0","0","0",,BEIN,"135","Bedding, showing strike and dip; inclined","436",319836.056,6630771.912
"Bedding, showing strike and dip",inclined,"200","290","40","0","0","0","0",,BEIN,"200","Bedding, showing strike and dip; inclined","422",322282.769,6628750.400
"Bedding, showing strike and dip",vertical,"350","80","90","0","0","0","0",,BEVE,"350","Bedding, showing strike and dip; vertical","416",319705.043,6628248.482
"Bedding, showing strike and dip",inclined,"142","232","45","0","0","0","0",,BEIN,"142","Bedding, showing strike and dip; inclined","400",326762.993,6624400.451
"Bedding, showing strike and dip",inclined,"123","213","75","0","0","0","0",,BEIN,"123","Bedding, showing strike and dip; inclined","408",327928.878,6623446.497
"Bedding, showing strike and dip",inclined,"135","225","80","0","0","0","0",,BEIN,"135","Bedding, showing strike and dip; inclined","402",318830.950,6622112.760
"Bedding, showing strike and dip",inclined,"141","231","60","0","0","0","0",,BEIN,"141","Bedding, showing strike and dip; inclined","399",319245.619,6621315.433
"Bedding, showing strike and dip",vertical,"334","64","90","0","0","0","0",,BEVE,"334","Bedding, showing strike and dip; vertical","386",317890.159,6620616.767
"Bedding, showing strike and dip",inclined,"125","215","60","0","0","0","0",,BEIN,"125","Bedding, showing strike and dip; inclined","384",319606.223,6620419.274
"Bedding, showing strike and dip",inclined,"132","222","80","0","0","0","0",,BEIN,"132","Bedding, showing strike and dip; inclined","372",328618.157,6617625.477
"Bedding, showing strike and dip",inclined,"301","31","30","0","0","0","0",,BEIN,"301","Bedding, showing strike and dip; inclined","364",329173.188,6617106.866
"Bedding, showing strike and dip",inclined,"139","229","60","0","0","0","0",,BEIN,"139","Bedding, showing strike and dip; inclined","373",329121.517,6616995.448
"Bedding, showing strike and dip",inclined,"119","209","60","0","0","0","0",,BEIN,"119","Bedding, showing strike and dip; inclined","363",329209.037,6615998.475
"Bedding, showing strike and dip",inclined,"59","149","40","0","0","0","0",,BEIN,"59","Bedding, showing strike and dip; inclined","346",331200.329,6615824.880
"Bedding, showing strike and dip",inclined,"159","249","75","0","0","0","0",,BEIN,"159","Bedding, showing strike and dip; inclined","375",328443.991,6615780.991
"Bedding, showing strike and dip",inclined,"137","227","30","0","0","0","0",,BEIN,"137","Bedding, showing strike and dip; inclined","369",329882.611,6615380.836
"Bedding, showing strike and dip",inclined,"321","59","60","0","0","0","0",,BEIN,"321","Bedding, showing strike and dip; inclined","353",331087.513,6615084.441
"Bedding, showing strike and dip",inclined,"143","233","70","0","0","0","0",,BEIN,"143","Bedding, showing strike and dip; inclined","385",327928.438,6613049.413
"Bedding, showing strike and dip",inclined,"300","30","80","0","0","0","0",,BEIN,"300","Bedding, showing strike and dip; inclined","395",325765.978,6612339.841
"Bedding, showing strike and dip",vertical,"308","38","90","0","0","0","0",,BEVE,"308","Bedding, showing strike and dip; vertical","381",326912.145,6611542.442
"Bedding, showing strike and dip",inclined,"132","222","70","0","0","0","0",,BEIN,"132","Bedding, showing strike and dip; inclined","375",329015.028,6608487.883
