FEATURE,TYPE,STRIKE,DIP_DIR,DIP,PLUNGE,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,DEM
"Bedding, showing strike and dip",inclined,"65","155","60","0","0","0","0",,BEIN,"65","Bedding, showing strike and dip; inclined",424.88
"Bedding, showing strike and dip",inclined,"65","155","70","0","0","0","0",,BEIN,"65","Bedding, showing strike and dip; inclined",449.05
"Bedding, showing strike and dip",inclined,"330","60","80","0","0","0","0",,BEIN,"330","Bedding, showing strike and dip; inclined",429.97
"Bedding, showing strike and dip",inclined,"95","185","70","0","0","0","0",,BEIN,"95","Bedding, showing strike and dip; inclined",443.95
"Bedding, showing strike and dip",inclined,"100","190","40","0","0","0","0",,BEIN,"100","Bedding, showing strike and dip; inclined",454.18
"Bedding, showing strike and dip",inclined,"105","195","50","0","0","0","0",,BEIN,"105","Bedding, showing strike and dip; inclined",443.12
"Bedding, showing strike and dip",inclined,"50","140","60","0","0","0","0",,BEIN,"50","Bedding, showing strike and dip; inclined",431.00
"Bedding, showing strike and dip",vertical,"335","65","90","0","0","0","0",,BEVE,"335","Bedding, showing strike and dip; vertical",434.95
"Bedding, showing strike and dip",vertical,"320","50","90","0","0","0","0",,BEVE,"320","Bedding, showing strike and dip; vertical",428.05
"Bedding, showing strike and dip",inclined,"340","70","82","0","0","0","0",,BEIN,"340","Bedding, showing strike and dip; inclined",426.93
"Bedding, showing strike and dip",vertical,"330","60","90","0","0","0","0",,BEVE,"330","Bedding, showing strike and dip; vertical",422.79
"Bedding, showing strike and dip",vertical,"320","50","90","0","0","0","0",,BEVE,"320","Bedding, showing strike and dip; vertical",418.13
"Bedding, showing strike and dip",vertical,"325","55","90","0","0","0","0",,BEVE,"325","Bedding, showing strike and dip; vertical",415.28
"Bedding, showing strike and dip",vertical,"320","50","90","0","0","0","0",,BEVE,"320","Bedding, showing strike and dip; vertical",410.94
"Bedding, showing strike and dip",inclined,"185","275","50","0","0","0","0",,BEIN,"185","Bedding, showing strike and dip; inclined",445.00
"Bedding, showing strike and dip",inclined,"135","225","70","0","0","0","0",,BEIN,"135","Bedding, showing strike and dip; inclined",436.00
"Bedding, showing strike and dip",vertical,"350","80","90","0","0","0","0",,BEVE,"350","Bedding, showing strike and dip; vertical",416.00
"Bedding, showing strike and dip",inclined,"142","232","45","0","0","0","0",,BEIN,"142","Bedding, showing strike and dip; inclined",400.00
"Bedding, showing strike and dip",inclined,"123","213","75","0","0","0","0",,BEIN,"123","Bedding, showing strike and dip; inclined",408.00
"Bedding, showing strike and dip",inclined,"132","222","80","0","0","0","0",,BEIN,"132","Bedding, showing strike and dip; inclined",372.00
"Bedding, showing strike and dip",inclined,"139","229","60","0","0","0","0",,BEIN,"139","Bedding, showing strike and dip; inclined",373.00
"Bedding, showing strike and dip",inclined,"119","209","60","0","0","0","0",,BEIN,"119","Bedding, showing strike and dip; inclined",363.00
"Bedding, showing strike and dip",inclined,"137","227","30","0","0","0","0",,BEIN,"137","Bedding, showing strike and dip; inclined",369.00
