FEATURE,TYPE,STRIKE,DIP_DIR,DIP,PLUNGE,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,raster_z,X,Y
"Igneous layering, showing strike and dip",inclined,"105","195","50","0","0","0","0",,ILIN,"105","Igneous layering, showing strike and dip; inclined","457",304814.375,"6644653"
"Igneous layering, showing strike and dip",inclined,"100","190","35","0","0","0","0",,ILIN,"100","Igneous layering, showing strike and dip; inclined","426",309244.103,"6643545"
"Igneous layering, showing strike and dip",inclined,"60","150","25","0","0","0","0",,ILIN,"60","Igneous layering, showing strike and dip; inclined","438",302409.133,"6639035"
"Igneous layering, showing strike and dip",inclined,"90","180","53","0","0","0","0",,ILIN,"90","Igneous layering, showing strike and dip; inclined","444",301067.139,"6637522"
"Igneous layering, showing strike and dip",inclined,"125","215","50","0","0","0","0",,ILIN,"125","Igneous layering, showing strike and dip; inclined","473",311905.830,"6635990"
"Igneous layering, showing strike and dip",inclined,"242","332","-99","0","0","0","0",,ILIN,"242","Igneous layering, showing strike and dip; inclined","444",332836.721,"6634998"
"Igneous layering, showing strike and dip",vertical,"168","78","90","0","0","0","0",,ILVE,"168","Igneous layering, showing strike and dip; vertical","445",332694.107,"6634594"
"Igneous layering, showing strike and dip",inclined,"130","220","50","0","0","0","0",,ILIN,"130","Igneous layering, showing strike and dip; inclined","468",313754.412,"6634117"
"Igneous layering, showing strike and dip",inclined,"135","225","50","0","0","0","0",,ILIN,"135","Igneous layering, showing strike and dip; inclined","440",316068.402,"6632559"
"Igneous layering, showing strike and dip",inclined,"74","164","60","0","0","0","0",,ILIN,"74","Igneous layering, showing strike and dip; inclined","460",333899.107,"6632500"
"Igneous layering, showing strike and dip",vertical,"325","55","90","0","0","0","0",,ILVE,"325","Igneous layering, showing strike and dip; vertical","429",334333.152,"6631820"
"Igneous layering, showing strike and dip",inclined,"125","215","60","0","0","0","0",,ILIN,"125","Igneous layering, showing strike and dip; inclined","433",317559.409,"6631082"
"Igneous layering, showing strike and dip",inclined,"100","190","-99","0","0","0","0",,ILIN,"100","Igneous layering, showing strike and dip; inclined","454",332933.750,"6631024"
"Igneous layering, showing strike and dip",inclined,"360","90","70","0","0","0","0",,ILIN,"360","Igneous layering, showing strike and dip; inclined","419",334676.317,"6630272"
"Igneous layering, showing strike and dip",inclined,"5","95","85","0","0","0","0",,ILIN,"5","Igneous layering, showing strike and dip; inclined","449",332796.370,"6630141"
"Igneous layering, showing strike and dip",inclined,"80","170","70","0","0","0","0",,ILIN,"80","Igneous layering, showing strike and dip; inclined","399",333958.024,"6627361"
"Igneous layering, showing strike and dip",inclined,"115","205","70","0","0","0","0",,ILIN,"115","Igneous layering, showing strike and dip; inclined","410",326537.303,"6625184"
"Igneous layering, showing strike and dip",inclined,"103","193","35","0","0","0","0",,ILIN,"103","Igneous layering, showing strike and dip; inclined","392",332465.252,"6622321"
