FEATURE,TYPE,STRIKE,DIP_DIR,DIP,PLUNGE,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,raster_z,X,Y
"Metamorphic foliation, showing strike and dip",inclined,"360","90","70","0","0","0","0",,FOIN,"360","Metamorphic foliation, showing strike and dip; inclined","434",300093.341,6652760.429
"Metamorphic foliation, showing strike and dip",inclined,"190","280","75","0","0","0","0",,FOIN,"190","Metamorphic foliation, showing strike and dip; inclined","446",279584.202,6652013.414
"Metamorphic foliation, showing strike and dip",vertical,"180","270","90","0","0","0","0",,FOVE,"180","Metamorphic foliation, showing strike and dip; vertical","433",298728.552,6652201.992
"Metamorphic foliation, showing strike and dip",inclined,"305","35","60","0","0","0","0",,FOIN,"305","Metamorphic foliation, showing strike and dip; inclined","446",299596.555,6652011.928
"Metamorphic foliation, showing strike and dip",inclined,"205","295","16","0","0","0","0",,FOIN,"205","Metamorphic foliation, showing strike and dip; inclined","424",298325.907,6651850.876
"Metamorphic foliation, showing strike and dip",inclined,"330","60","75","0","0","0","0",,FOIN,"330","Metamorphic foliation, showing strike and dip; inclined","441",299500.708,6651831.452
"Metamorphic foliation, showing strike and dip",inclined,"170","260","20","0","0","0","0",,FOIN,"170","Metamorphic foliation, showing strike and dip; inclined","430",298625.158,6651714.053
"Metamorphic foliation, showing strike and dip",inclined,"355","85","60","0","0","0","0",,FOIN,"355","Metamorphic foliation, showing strike and dip; inclined","455",300757.355,6651672.541
"Metamorphic foliation, showing strike and dip",inclined,"340","70","-99","0","0","0","0",,FOIN,"340","Metamorphic foliation, showing strike and dip; inclined","413",329008.385,6652090.559
"Metamorphic foliation, showing strike and dip",inclined,"15","105","85","0","0","0","0",,FOIN,"15","Metamorphic foliation, showing strike and dip; inclined","428",298131.968,6651335.466
"Metamorphic foliation, showing strike and dip",inclined,"75","165","80","0","0","0","0",,FOIN,"75","Metamorphic foliation, showing strike and dip; inclined","429",298128.994,6651019.424
"Metamorphic foliation, showing strike and dip",inclined,"350","80","60","0","0","0","0",,FOIN,"350","Metamorphic foliation, showing strike and dip; inclined","440",300236.515,6650994.908
