FEATURE,TYPE,STRIKE,DIP_DIR,DIP,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,DEM
"Metamorphic foliation, showing strike and dip",inclined,"55","145","70","0","0","0",,FOIN,"55","Metamorphic foliation, showing strike and dip; inclined",430.03
"Metamorphic foliation, showing strike and dip",inclined,"40","130","80","0","0","0",,FOIN,"40","Metamorphic foliation, showing strike and dip; inclined",441.00
"Metamorphic foliation, showing strike and dip",inclined,"55","145","70","0","0","0",,FOIN,"55","Metamorphic foliation, showing strike and dip; inclined",433.03
"Metamorphic foliation, showing strike and dip",inclined,"60","150","60","0","0","0",,FOIN,"60","Metamorphic foliation, showing strike and dip; inclined",458.00
"Metamorphic foliation, showing strike and dip",inclined,"25","115","80","0","0","0",,FOIN,"25","Metamorphic foliation, showing strike and dip; inclined",436.95
"Metamorphic foliation, showing strike and dip",vertical,"155","245","90","0","0","0",,FOVE,"155","Metamorphic foliation, showing strike and dip; vertical",433.07
"Metamorphic foliation, showing strike and dip",inclined,"345","75","85","0","0","0",,FOIN,"345","Metamorphic foliation, showing strike and dip; inclined",436.03
"Metamorphic foliation, showing strike and dip",inclined,"20","110","75","0","0","0",,FOIN,"20","Metamorphic foliation, showing strike and dip; inclined",451.93
"Metamorphic foliation, showing strike and dip",vertical,"155","245","90","0","0","0",,FOVE,"155","Metamorphic foliation, showing strike and dip; vertical",420.04
"Metamorphic foliation, showing strike and dip",inclined,"340","70","80","0","0","0",,FOIN,"340","Metamorphic foliation, showing strike and dip; inclined",458.09
"Metamorphic foliation, showing strike and dip",inclined,"335","65","80","0","0","0",,FOIN,"335","Metamorphic foliation, showing strike and dip; inclined",460.97
"Metamorphic foliation, showing strike and dip",inclined,"5","95","70","0","0","0",,FOIN,"5","Metamorphic foliation, showing strike and dip; inclined",451.09
"Metamorphic foliation, showing strike and dip",inclined,"5","95","70","0","0","0",,FOIN,"5","Metamorphic foliation, showing strike and dip; inclined",458.93
"Metamorphic foliation, showing strike and dip",inclined,"325","55","25","0","0","0",,FOIN,"325","Metamorphic foliation, showing strike and dip; inclined",438.04
"Metamorphic foliation, showing strike and dip",inclined,"135","225","60","0","0","0",,FOIN,"135","Metamorphic foliation, showing strike and dip; inclined",452.00
"Metamorphic foliation, showing strike and dip",inclined,"125","215","60","0","0","0",,FOIN,"125","Metamorphic foliation, showing strike and dip; inclined",444.00
"Metamorphic foliation, showing strike and dip",vertical,"150","240","90","0","0","0",,FOVE,"150","Metamorphic foliation, showing strike and dip; vertical",413.17
"Metamorphic foliation, showing strike and dip",inclined,"145","235","70","0","0","0",,FOIN,"145","Metamorphic foliation, showing strike and dip; inclined",450.00
"Metamorphic foliation, showing strike and dip",vertical,"155","245","90","0","0","0",,FOVE,"155","Metamorphic foliation, showing strike and dip; vertical",413.95
"Metamorphic foliation, showing strike and dip",vertical,"160","250","90","0","0","0",,FOVE,"160","Metamorphic foliation, showing strike and dip; vertical",415.25
"Metamorphic foliation, showing strike and dip",inclined,"150","240","60","0","0","0",,FOIN,"150","Metamorphic foliation, showing strike and dip; inclined",459.00
"Metamorphic foliation, showing strike and dip",vertical,"150","240","90","0","0","0",,FOVE,"150","Metamorphic foliation, showing strike and dip; vertical",417.17
"Metamorphic foliation, showing strike and dip",inclined,"150","240","80","0","0","0",,FOIN,"150","Metamorphic foliation, showing strike and dip; inclined",437.00
"Metamorphic foliation, showing strike and dip",vertical,"155","245","90","0","0","0",,FOVE,"155","Metamorphic foliation, showing strike and dip; vertical",400.81
"Metamorphic foliation, showing strike and dip",inclined,"180","270","75","0","0","0",,FOIN,"180","Metamorphic foliation, showing strike and dip; inclined",431.00
"Metamorphic foliation, showing strike and dip",inclined,"350","80","80","0","0","0",,FOIN,"350","Metamorphic foliation, showing strike and dip; inclined",416.17
"Metamorphic foliation, showing strike and dip",inclined,"355","85","50","0","0","0",,FOIN,"355","Metamorphic foliation, showing strike and dip; inclined",390.95
"Metamorphic foliation, showing strike and dip",vertical,"300","30","90","0","0","0",,FOVE,"300","Metamorphic foliation, showing strike and dip; vertical",413.00
"Metamorphic foliation, showing strike and dip",inclined,"148","238","80","0","0","0",,FOIN,"148","Metamorphic foliation, showing strike and dip; inclined",392.00
"Metamorphic foliation, showing strike and dip",inclined,"140","230","80","0","0","0",,FOIN,"140","Metamorphic foliation, showing strike and dip; inclined",379.00
"Metamorphic foliation, showing strike and dip",inclined,"146","236","80","0","0","0",,FOIN,"146","Metamorphic foliation, showing strike and dip; inclined",366.00
